"",BBK01.OELB04Q,BBK01.OELB04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:56,
2002-01,5.246,
2002-04,5.326,
2002-07,5.400,
2002-10,5.492,
2003-01,5.496,
2003-04,5.603,
2003-07,5.675,
2003-10,5.783,
2004-01,5.794,
2004-04,5.858,
2004-07,5.959,
2004-10,6.068,
2005-01,6.111,
2005-04,6.196,
2005-07,6.432,
2005-10,6.623,
2006-01,6.750,
2006-04,7.357,
2006-07,7.429,
2006-10,7.443,
2007-01,7.426,
2007-04,7.486,
2007-07,7.809,
2007-10,7.782,
2008-01,7.856,
2008-04,8.015,
2008-07,8.125,
2008-10,8.381,
2009-01,8.397,
2009-04,8.548,
2009-07,8.822,
2009-10,9.066,
2010-01,9.198,
2010-04,9.430,
2010-07,9.662,
2010-10,9.913,
2011-01,9.991,
2011-04,10.208,
2011-07,10.384,
2011-10,10.574,
2012-01,10.701,
2012-04,11.413,
2012-07,11.555,
2012-10,11.727,
2013-01,11.892,
2013-04,12.077,
2013-07,12.281,
2013-10,12.507,
2014-01,12.541,
2014-04,12.673,
2014-07,12.944,
