"",BBFB1.Q.N.DE.HU.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:59,
1991-01,-1.577,
1991-04,0.091,
1991-07,-0.533,
1991-10,-0.322,
1992-01,-1.042,
1992-04,-1.138,
1992-07,-1.257,
1992-10,-2.999,
1993-01,-0.265,
1993-04,-1.129,
1993-07,0.452,
1993-10,-0.722,
1994-01,-0.425,
1994-04,-0.138,
1994-07,-0.488,
1994-10,-0.112,
1995-01,-0.321,
1995-04,0.044,
1995-07,-0.499,
1995-10,1.275,
1996-01,18.518,
1996-04,11.662,
1996-07,3.274,
1996-10,25.902,
1997-01,20.766,
1997-04,33.639,
1997-07,12.705,
1997-10,4.578,
1998-01,105.652,
1998-04,-9.585,
1998-07,113.013,
1998-10,25.807,
1999-01,68.614,
1999-04,89.874,
1999-07,-3.573,
1999-10,-1.846,
2000-01,178.277,
2000-04,22.885,
2000-07,128.242,
2000-10,62.041,
2001-01,272.435,
2001-04,91.673,
2001-07,140.900,
2001-10,-114.190,
2002-01,268.940,
2002-04,138.104,
2002-07,165.627,
2002-10,-12.656,
2003-01,101.303,
2003-04,364.215,
2003-07,-122.656,
2003-10,-54.965,
2004-01,175.900,
2004-04,-40.535,
2004-07,67.919,
2004-10,-32.829,
2005-01,426.318,
2005-04,2949.772,
2005-07,103.687,
2005-10,-6.622,
2006-01,-2804.916,
2006-04,74.928,
2006-07,283.517,
2006-10,69.903,
2007-01,277.121,
2007-04,171.154,
2007-07,-383.218,
2007-10,-537.708,
2008-01,146.636,
2008-04,-526.026,
2008-07,-204.772,
2008-10,59.467,
2009-01,-119.845,
2009-04,-457.583,
2009-07,-141.969,
2009-10,369.158,
2010-01,286.178,
2010-04,-367.835,
2010-07,59.293,
2010-10,-183.673,
2011-01,64.968,
2011-04,41.162,
2011-07,70.222,
2011-10,403.143,
2012-01,-50.896,
2012-04,-318.920,
2012-07,473.733,
2012-10,-314.298,
2013-01,84.094,
2013-04,403.921,
2013-07,-125.373,
2013-10,-142.147,
2014-01,433.746,Provisional value
2014-04,29.163,Provisional value
2014-07,83.286,Provisional value
2014-10,-388.568,Provisional value
