"",BBK01.OEAH17Q,BBK01.OEAH17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:03,
2002-01,19.558,
2002-04,19.507,
2002-07,18.142,
2002-10,18.696,
2003-01,19.062,
2003-04,18.229,
2003-07,19.119,
2003-10,18.708,
2004-01,19.292,
2004-04,19.018,
2004-07,19.523,
2004-10,31.770,
2005-01,30.049,
2005-04,30.059,
2005-07,30.201,
2005-10,30.464,
2006-01,30.630,
2006-04,31.174,
2006-07,25.094,
2006-10,28.025,
2007-01,28.654,
2007-04,30.474,
2007-07,33.052,
2007-10,37.129,
2008-01,38.472,
2008-04,42.722,
2008-07,44.694,
2008-10,42.628,
2009-01,44.633,
2009-04,42.054,
2009-07,41.545,
2009-10,39.358,
2010-01,39.064,
2010-04,43.311,
2010-07,43.525,
2010-10,41.153,
2011-01,33.404,
2011-04,33.261,
2011-07,40.069,
2011-10,40.200,
2012-01,39.873,
2012-04,41.493,
2012-07,41.514,
2012-10,41.550,
2013-01,37.503,
2013-04,38.337,
2013-07,37.359,
2013-10,36.854,
2014-01,37.622,
2014-04,37.826,
2014-07,37.057,
