"",BBFN1.M.DE.N.1.A.TR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Turkey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:35,
1982-09,0.039,
1982-10,0.030,
1982-11,0.033,
1982-12,0.031,
1983-01,0.030,
1983-02,0.029,
1983-03,0.027,
1983-04,0.026,
1983-05,0.025,
1983-06,0.022,
1983-07,0.023,
1983-08,0.018,
1983-09,0.019,
1983-10,0.017,
1983-11,0.021,
1983-12,0.018,
1984-01,0.022,
1984-02,0.022,
1984-03,0.023,
1984-04,0.020,
1984-05,0.020,
1984-06,0.020,
1984-07,0.020,
1984-08,0.024,
1984-09,0.024,
1984-10,0.022,
1984-11,0.022,
1984-12,0.024,
1985-01,0.025,
1985-02,0.025,
1985-03,0.025,
1985-04,0.032,
1985-05,0.033,
1985-06,0.033,
1985-07,0.033,
1985-08,0.036,
1985-09,0.041,
1985-10,0.042,
1985-11,0.042,
1985-12,0.044,
1986-01,0.044,
1986-02,0.042,
1986-03,0.044,
1986-04,0.041,
1986-05,0.045,
1986-06,0.042,
1986-07,0.042,
1986-08,0.042,
1986-09,0.048,
1986-10,0.057,
1986-11,0.058,
1986-12,0.063,
1987-01,0.069,
1987-02,0.071,
1987-03,0.069,
1987-04,0.071,
1987-05,0.066,
1987-06,0.073,
1987-07,0.077,
1987-08,0.079,
1987-09,0.076,
1987-10,0.062,
1987-11,0.065,
1987-12,0.062,
1988-01,0.064,
1988-02,0.065,
1988-03,0.065,
1988-04,0.064,
1988-05,0.069,
1988-06,0.071,
1988-07,0.079,
1988-08,0.078,
1988-09,0.078,
1988-10,0.072,
1988-11,0.073,
1988-12,0.067,
1989-01,0.069,
1989-02,0.072,
1989-03,0.084,
1989-04,0.087,
1989-05,0.089,
1989-06,0.089,
1989-07,0.087,
1989-08,0.089,
1989-09,0.083,
1989-10,0.083,
1989-11,0.081,
1989-12,0.084,
1990-01,0.084,
1990-02,0.083,
1990-03,0.080,
1990-04,0.086,
1990-05,0.084,
1990-06,0.088,
1990-07,0.090,
1990-08,0.095,
1990-09,0.097,
1990-10,0.094,
1990-11,0.095,
1990-12,0.100,
1991-01,0.099,
1991-02,0.097,
1991-03,0.110,
1991-04,0.097,
1991-05,0.101,
1991-06,0.103,
1991-07,0.108,
1991-08,0.115,
1991-09,0.115,
1991-10,0.113,
1991-11,0.104,
