"",BBK01.OEHL06R,BBK01.OEHL06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:05,
2002-01,0.697,
2002-04,0.740,
2002-07,0.747,
2002-10,0.770,
2003-01,0.745,
2003-04,0.739,
2003-07,0.733,
2003-10,0.734,
2004-01,0.716,
2004-04,0.704,
2004-07,0.702,
2004-10,0.706,
2005-01,0.700,
2005-04,0.683,
2005-07,0.665,
2005-10,0.664,
2006-01,0.672,
2006-04,0.684,
2006-07,0.686,
2006-10,0.710,
2007-01,0.715,
2007-04,0.737,
2007-07,0.762,
2007-10,0.783,
2008-01,0.769,
2008-04,0.756,
2008-07,0.754,
2008-10,0.780,
2009-01,0.731,
2009-04,0.653,
2009-07,0.584,
2009-10,0.559,
2010-01,0.548,
2010-04,0.547,
2010-07,0.546,
2010-10,0.513,
2011-01,0.515,
2011-04,0.526,
2011-07,0.525,
2011-10,0.525,
2012-01,0.512,
2012-04,0.496,
2012-07,0.461,
2012-10,0.435,
2013-01,0.413,
2013-04,0.414,
2013-07,0.405,
2013-10,0.409,
2014-01,0.401,
2014-04,0.400,
2014-07,0.388,
