"",BBK01.OEXO04V,BBK01.OEXO04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:18,
2002-01,-0.077,
2002-04,-0.077,
2002-07,0.005,
2002-10,0.004,
2003-01,-0.047,
2003-04,-0.046,
2003-07,-0.015,
2003-10,-0.006,
2004-01,-0.038,
2004-04,0.001,
2004-07,-0.027,
2004-10,0.025,
2005-01,0.068,
2005-04,-0.009,
2005-07,-0.068,
2005-10,0.018,
2006-01,0.015,
2006-04,0.003,
2006-07,0.004,
2006-10,0.055,
2007-01,0.202,
2007-04,0.077,
2007-07,0.093,
2007-10,0.163,
2008-01,0.093,
2008-04,0.037,
2008-07,0.034,
2008-10,0.314,
2009-01,-0.100,
2009-04,-0.051,
2009-07,-0.010,
2009-10,-0.174,
2010-01,-0.171,
2010-04,-0.054,
2010-07,-0.024,
2010-10,0.157,
2011-01,0.130,
2011-04,-0.012,
2011-07,-,Nothing exists
2011-10,-0.057,
2012-01,-0.079,
2012-04,-0.018,
2012-07,0.001,
2012-10,-0.161,
2013-01,-0.127,
2013-04,-0.095,
2013-07,-0.024,
2013-10,-0.021,
2014-01,-0.021,
2014-04,-0.032,
2014-07,0.104,
