"",BBK01.OEBK04V,BBK01.OEBK04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:14,
2002-01,0.375,
2002-04,0.363,
2002-07,0.360,
2002-10,0.371,
2003-01,0.368,
2003-04,0.354,
2003-07,0.375,
2003-10,0.368,
2004-01,0.372,
2004-04,0.309,
2004-07,0.311,
2004-10,0.312,
2005-01,0.311,
2005-04,0.323,
2005-07,0.251,
2005-10,0.264,
2006-01,0.301,
2006-04,0.294,
2006-07,0.292,
2006-10,0.316,
2007-01,0.329,
2007-04,0.350,
2007-07,0.388,
2007-10,0.416,
2008-01,0.444,
2008-04,0.439,
2008-07,0.465,
2008-10,0.417,
2009-01,0.251,
2009-04,0.211,
2009-07,0.165,
2009-10,0.138,
2010-01,0.108,
2010-04,0.096,
2010-07,0.075,
2010-10,0.071,
2011-01,0.080,
2011-04,0.120,
2011-07,0.114,
2011-10,0.122,
2012-01,0.079,
2012-04,0.817,
2012-07,0.808,
2012-10,0.793,
2013-01,0.792,
2013-04,0.791,
2013-07,0.786,
2013-10,0.778,
2014-01,0.780,
2014-04,0.775,
2014-07,0.774,
