"",BBK01.OECL06H,BBK01.OECL06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:51,
2002-01,0.065,
2002-04,0.058,
2002-07,0.050,
2002-10,0.037,
2003-01,0.034,
2003-04,0.031,
2003-07,0.028,
2003-10,0.025,
2004-01,0.023,
2004-04,0.081,
2004-07,0.073,
2004-10,0.057,
2005-01,0.046,
2005-04,0.041,
2005-07,0.038,
2005-10,0.034,
2006-01,0.028,
2006-04,0.025,
2006-07,0.024,
2006-10,0.022,
2007-01,0.020,
2007-04,0.019,
2007-07,0.018,
2007-10,0.042,
2008-01,0.037,
2008-04,0.037,
2008-07,0.047,
2008-10,0.043,
2009-01,0.015,
2009-04,0.013,
2009-07,0.009,
2009-10,0.008,
2010-01,0.007,
2010-04,0.006,
2010-07,0.005,
2010-10,0.004,
2011-01,0.004,
2011-04,0.080,
2011-07,0.089,
2011-10,0.094,
2012-01,0.113,
2012-04,0.115,
2012-07,0.116,
2012-10,0.064,
2013-01,0.052,
2013-04,0.050,
2013-07,0.049,
2013-10,0.053,
2014-01,0.055,
2014-04,0.057,
2014-07,0.054,
