"",BBK01.BJ9172,BBK01.BJ9172_FLAGS
"",National accounts - general government revenue - social contributions (ESA 2010) - Germany as a whole (western Germany up to and including 1990),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:55,
1970,42550,
1971,49400,
1972,56490,
1973,66950,
1974,75080,
1975,83970,
1976,94380,
1977,100410,
1978,106610,
1979,115370,
1980,124570,
1981,134490,
1982,142530,
1983,145590,
1984,152870,
1985,160660,
1986,169330,
1987,175850,
1988,183930,
1989,192460,
1990,205930,
1991,258257,"Break, comment"
1992,283859,
1993,301039,
1994,323886,
1995,343470,
1996,360340,
1997,372979,
1998,376994,
1999,381926,
2000,382332,
2001,388559,
2002,394113,
2003,400477,
2004,400721,
2005,399730,
2006,404212,
2007,404271,
2008,412449,
2009,415615,
2010,426180,
2011,442226,Provisional value
2012,454291,Provisional value
2013,465350,Provisional value
2014,481493,Provisional value
"",General: For Germany as a whole (western Germany in ESA 95 definition up to and including 1990),
