"",BBK01.CEFNN0,BBK01.CEFNN0_FLAGS
"",Transferable deposits                                                     debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:23,
1999-01,120.4,
1999-04,111.2,
1999-07,102.0,
1999-10,72.3,
2000-01,98.1,
2000-04,99.3,
2000-07,92.3,
2000-10,88.4,
2001-01,119.2,
2001-04,140.0,
2001-07,137.7,
2001-10,115.9,
2002-01,112.8,
2002-04,136.6,
2002-07,143.7,
2002-10,143.6,
2003-01,163.1,
2003-04,180.1,
2003-07,183.4,
2003-10,150.0,
2004-01,168.6,
2004-04,167.6,
2004-07,183.5,
2004-10,125.6,
2005-01,188.4,
2005-04,211.2,
2005-07,192.3,
2005-10,137.6,
2006-01,193.7,
2006-04,183.8,
2006-07,172.6,
2006-10,181.9,
2007-01,203.8,
2007-04,226.0,
2007-07,229.0,
2007-10,179.6,
2008-01,226.7,
2008-04,221.2,
2008-07,233.4,
2008-10,226.1,
2009-01,216.4,
2009-04,216.0,
2009-07,217.0,
2009-10,203.1,
2010-01,232.1,
2010-04,268.0,
2010-07,275.7,
2010-10,265.3,
2011-01,278.0,
2011-04,290.5,
2011-07,340.7,
2011-10,290.4,
2012-01,335.5,
2012-04,354.1,
2012-07,383.7,
2012-10,341.1,
2013-01,359.7,
2013-04,369.5,
2013-07,359.8,
2013-10,344.7,
2014-01,357.6,
2014-04,376.3,
2014-07,386.7,
