"",BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:19,
1991-01,2689.589,
1991-04,1702.532,
1991-07,982.076,
1991-10,2007.573,
1992-01,1870.584,
1992-04,352.623,
1992-07,4260.418,
1992-10,739.872,
1993-01,3803.566,
1993-04,678.802,
1993-07,2666.995,
1993-10,1569.483,
1994-01,-1184.933,
1994-04,3761.904,
1994-07,2689.250,
1994-10,2807.868,
1995-01,1955.121,
1995-04,2058.005,
1995-07,3066.797,
1995-10,16.807,
1996-01,2364.216,
1996-04,673.249,
1996-07,2918.186,
1996-10,5907.550,
1997-01,-186.095,
1997-04,1790.590,
1997-07,3316.153,
1997-10,6953.138,
1998-01,2905.499,
1998-04,7579.417,
1998-07,-2970.718,
1998-10,5189.161,
1999-01,4526.433,
1999-04,-3408.133,
1999-07,4074.457,
1999-10,7001.882,
2000-01,988.640,
2000-04,5918.372,
2000-07,3917.248,
2000-10,8101.850,
2001-01,1668.813,
2001-04,5566.217,
2001-07,1262.821,
2001-10,12331.902,
2002-01,-2192.001,
2002-04,9089.340,
2002-07,6015.401,
2002-10,-2747.213,
2003-01,15832.674,
2003-04,5741.248,
2003-07,4628.771,
2003-10,10311.351,
2004-01,15610.356,
2004-04,-8326.745,
2004-07,3662.771,
2004-10,4455.275,
2005-01,10055.451,
2005-04,2524.155,
2005-07,14326.970,
2005-10,8186.714,
2006-01,12285.576,
2006-04,12227.840,
2006-07,9270.584,
2006-10,23770.481,
2007-01,13057.942,
2007-04,23669.211,
2007-07,-13026.569,
2007-10,1300.366,
2008-01,5916.655,
2008-04,17392.251,
2008-07,10787.821,
2008-10,-17974.567,
2009-01,-18956.956,
2009-04,5302.445,
2009-07,3392.238,
2009-10,-822.225,
2010-01,8160.651,
2010-04,9933.615,
2010-07,-5014.263,
2010-10,3757.534,
2011-01,-1327.707,
2011-04,2081.839,
2011-07,17109.408,
2011-10,14219.178,
2012-01,3864.445,
2012-04,68210.327,
2012-07,-18010.325,
2012-10,-6245.397,
2013-01,6523.895,
2013-04,-6133.789,
2013-07,4622.189,
2013-10,-5981.629,
2014-01,-16784.158,Provisional value
2014-04,12122.858,Provisional value
2014-07,-17463.290,Provisional value
2014-10,3898.763,Provisional value
