"",BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:39,
1991-01,939.027,
1991-04,704.876,
1991-07,561.160,
1991-10,878.134,
1992-01,726.533,
1992-04,-188.611,
1992-07,223.559,
1992-10,513.129,
1993-01,811.587,
1993-04,620.280,
1993-07,163.183,
1993-10,-1067.281,
1994-01,24.908,
1994-04,723.887,
1994-07,124.181,
1994-10,2117.449,
1995-01,160.818,
1995-04,409.225,
1995-07,1843.598,
1995-10,1684.074,
1996-01,1322.656,
1996-04,954.474,
1996-07,1108.079,
1996-10,4270.859,
1997-01,6631.330,
1997-04,-1.688,
1997-07,706.501,
1997-10,5389.975,
1998-01,17335.391,
1998-04,7989.590,
1998-07,-3009.218,
1998-10,1906.304,
1999-01,8385.000,
1999-04,9262.041,
1999-07,9794.466,
1999-10,38001.123,
2000-01,156429.816,
2000-04,40179.675,
2000-07,61032.072,
2000-10,-20430.391,
2001-01,14517.130,
2001-04,6572.086,
2001-07,18786.051,
2001-10,11178.557,
2002-01,22923.905,
2002-04,19083.886,
2002-07,7169.743,
2002-10,8839.590,
2003-01,21556.353,
2003-04,15664.803,
2003-07,13060.775,
2003-10,205.115,
2004-01,-23093.017,
2004-04,3838.625,
2004-07,-1364.075,
2004-10,844.324,
2005-01,7203.294,
2005-04,1405.270,
2005-07,2605.378,
2005-10,30394.428,
2006-01,14231.983,
2006-04,6580.700,
2006-07,7217.689,
2006-10,17045.739,
2007-01,12870.940,
2007-04,7017.587,
2007-07,3659.282,
2007-10,-12201.536,
2008-01,1357.550,
2008-04,12128.020,
2008-07,10610.606,
2008-10,-148.531,
2009-01,15947.488,
2009-04,10650.102,
2009-07,-758.020,
2009-10,15747.018,
2010-01,3744.692,
2010-04,1303.514,
2010-07,17129.613,
2010-10,15991.127,
2011-01,2490.462,
2011-04,13436.022,
2011-07,11171.981,
2011-10,13986.025,
2012-01,5972.653,
2012-04,1966.814,
2012-07,-5200.922,
2012-10,14620.380,
2013-01,2923.901,
2013-04,14671.692,
2013-07,4803.850,
2013-10,7241.226,
2014-01,925.403,Provisional value
2014-04,5254.122,Provisional value
2014-07,-11559.994,Provisional value
2014-10,-7324.369,Provisional value
