"",BBSF2.M.1.S.I1250.REN01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.REN01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number / Insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:49:36,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,225,
1993-05,229,
1993-06,228,
1993-07,231,
1993-08,234,
1993-09,236,
1993-10,237,
1993-11,237,
1993-12,245,
1994-01,246,
1994-02,247,
1994-03,248,
1994-04,248,
1994-05,252,
1994-06,252,
1994-07,254,
1994-08,255,
1994-09,256,
1994-10,258,
1994-11,259,
1994-12,260,
1995-01,257,
1995-02,259,
1995-03,260,
1995-04,260,
1995-05,259,
1995-06,260,
1995-07,261,
1995-08,261,
1995-09,258,
1995-10,260,
1995-11,258,
1995-12,261,
1996-01,263,
1996-02,265,
1996-03,265,
1996-04,266,
1996-05,267,
1996-06,267,
1996-07,266,
1996-08,266,
1996-09,266,
1996-10,271,
1996-11,271,
1996-12,275,
1997-01,277,
1997-02,277,
1997-03,278,
1997-04,281,
1997-05,282,
1997-06,285,
1997-07,287,
1997-08,292,
1997-09,293,
1997-10,296,
1997-11,300,
1997-12,304,
1998-01,303,
1998-02,301,
1998-03,303,
1998-04,303,
1998-05,307,
1998-06,308,
1998-07,315,
1998-08,315,
1998-09,317,
1998-10,318,
1998-11,329,
1998-12,332,
1999-01,335,
1999-02,335,
1999-03,339,
1999-04,340,
1999-05,341,
1999-06,341,
1999-07,346,
1999-08,346,
1999-09,348,
1999-10,348,
1999-11,346,
1999-12,346,
2000-01,344,
2000-02,350,
2000-03,353,
2000-04,364,
2000-05,366,
2000-06,365,
2000-07,369,
2000-08,374,
2000-09,378,
2000-10,380,
2000-11,373,
2000-12,371,
2001-01,376,
2001-02,377,
2001-03,375,
2001-04,376,
2001-05,372,
2001-06,373,
2001-07,381,
2001-08,384,
2001-09,386,
2001-10,384,
2001-11,377,
2001-12,377,
2002-01,373,
2002-02,378,
2002-03,378,
2002-04,376,
2002-05,371,
2002-06,368,
2002-07,362,
2002-08,362,
2002-09,361,
2002-10,359,
2002-11,355,
2002-12,349,
2003-01,349,
2003-02,345,
2003-03,342,
2003-04,339,
2003-05,333,
2003-06,333,
2003-07,332,
2003-08,327,
2003-09,326,
2003-10,330,
2003-11,328,
2003-12,324,
2004-01,320,
2004-02,309,
2004-03,301,
2004-04,284,
2004-05,281,
2004-06,282,
2004-07,283,
2004-08,276,
2004-09,274,
2004-10,273,
2004-11,275,
2004-12,277,
2005-01,276,
2005-02,271,
2005-03,268,
2005-04,268,
2005-05,268,
2005-06,268,
2005-07,266,
2005-08,256,
2005-09,250,
2005-10,189,
2005-11,190,
2005-12,188,
2006-01,185,
2006-02,185,
2006-03,185,
2006-04,184,
2006-05,183,
2006-06,181,
2006-07,179,
2006-08,180,
2006-09,180,
2006-10,180,
2006-11,177,
2006-12,173,
2007-01,171,
2007-02,173,
2007-03,173,
2007-04,171,
2007-05,167,
2007-06,167,
2007-07,168,
2007-08,167,
2007-09,165,
2007-10,164,
2007-11,164,
2007-12,168,
2008-01,167,
2008-02,169,
2008-03,169,
2008-04,170,
2008-05,170,
2008-06,168,
2008-07,168,
2008-08,169,
2008-09,169,
2008-10,164,
2008-11,166,
2008-12,171,
2009-01,171,
2009-02,173,
2009-03,171,
2009-04,172,
2009-05,174,
2009-06,176,
2009-07,185,
2009-08,183,
2009-09,169,
2009-10,168,
2009-11,159,
2009-12,161,
2010-01,163,
2010-02,162,
2010-03,161,
2010-04,162,
2010-05,159,
2010-06,155,
2010-07,150,
2010-08,151,
2010-09,159,
2010-10,159,
2010-11,158,
2010-12,156,
2011-01,156,
2011-02,159,
2011-03,158,
2011-04,159,
2011-05,158,
2011-06,159,
2011-07,158,
2011-08,157,
2011-09,156,
2011-10,156,
2011-11,155,
2011-12,152,
2012-01,152,
2012-02,151,
2012-03,151,
2012-04,151,
2012-05,150,
2012-06,150,
2012-07,150,
2012-08,150,
2012-09,150,
2012-10,147,
2012-11,144,
2012-12,144,
2013-01,144,
2013-02,143,
2013-03,149,
2013-04,146,
2013-05,146,
2013-06,149,
2013-07,149,
2013-08,149,
2013-09,150,
2013-10,145,
2013-11,143,
2013-12,143,
2014-01,139,
2014-02,137,
2014-03,135,
2014-04,133,
2014-05,131,
2014-06,133,
2014-07,131,
2014-08,132,
2014-09,132,
2014-10,132,
2014-11,132,
