"",BBFN1.M.DE.N.1.L.PK.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PK.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Pakistan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:31,
1994-07,0.025,
1994-08,0.026,
1994-09,0.027,
1994-10,0.027,
1994-11,0.047,
1994-12,0.049,
1995-01,0.051,
1995-02,0.046,
1995-03,0.047,
1995-04,0.030,
1995-05,0.028,
1995-06,0.030,
1995-07,0.027,
1995-08,0.028,
1995-09,0.026,
1995-10,0.025,
1995-11,0.024,
1995-12,0.025,
1996-01,0.024,
1996-02,0.028,
1996-03,0.025,
1996-04,0.025,
1996-05,0.025,
1996-06,0.025,
1996-07,0.022,
1996-08,0.024,
1996-09,0.022,
1996-10,0.023,
1996-11,0.021,
1996-12,0.022,
1997-01,0.023,
1997-02,0.022,
1997-03,0.022,
1997-04,0.022,
1997-05,0.021,
1997-06,0.024,
1997-07,0.028,
1997-08,0.027,
1997-09,0.028,
1997-10,0.025,
1997-11,0.025,
1997-12,0.025,
1998-01,0.027,
1998-02,0.028,
1998-03,0.025,
1998-04,0.026,
1998-05,0.026,
1998-06,0.026,
1998-07,0.043,
1998-08,0.046,
1998-09,0.046,
1998-10,0.044,
1998-11,0.052,
1998-12,0.052,
1999-01,0.050,
1999-02,0.049,
1999-03,0.028,
1999-04,0.018,
1999-05,0.024,
1999-06,0.025,
1999-07,0.022,
1999-08,0.023,
1999-09,0.024,
1999-10,0.024,
1999-11,0.024,
1999-12,0.026,
2000-01,0.028,
2000-02,0.025,
2000-03,0.025,
2000-04,0.026,
2000-05,0.023,
2000-06,0.025,
2000-07,0.028,
2000-08,0.029,
2000-09,0.031,
2000-10,0.030,
2000-11,0.044,
2000-12,0.045,
2001-01,0.044,
2001-02,0.042,
2001-03,0.039,
2001-04,0.039,
2001-05,0.037,
2001-06,0.035,
2001-07,0.023,
2001-08,0.034,
2001-09,0.041,
2001-10,0.039,
2001-11,0.029,
2001-12,0.028,
2002-01,0.025,
2002-02,0.028,
2002-03,0.021,
2002-04,0.025,
2002-05,0.022,
2002-06,0.023,
2002-07,0.021,
2002-08,0.021,
2002-09,0.020,
2002-10,0.021,
2002-11,0.023,
2002-12,0.023,
2003-01,0.022,
2003-02,0.023,
2003-03,0.027,
2003-04,0.026,
2003-05,0.025,
2003-06,0.027,
2003-07,0.027,
2003-08,0.028,
2003-09,0.027,
2003-10,0.036,
2003-11,0.026,
2003-12,0.031,
2004-01,0.033,
2004-02,0.032,
2004-03,0.033,
2004-04,0.032,
2004-05,0.028,
2004-06,0.024,
2004-07,0.024,
2004-08,0.023,
2004-09,0.024,
2004-10,0.022,
2004-11,0.022,
2004-12,0.026,
2005-01,0.022,
2005-02,0.023,
2005-03,0.028,
2005-04,0.030,
2005-05,0.030,
2005-06,0.026,
2005-07,0.027,
2005-08,0.024,
2005-09,0.023,
2005-10,0.026,
2005-11,0.024,
2005-12,0.026,
2006-01,0.022,
2006-02,0.025,
2006-03,0.021,
2006-04,0.021,
2006-05,0.023,
2006-06,0.023,
2006-07,0.019,
2006-08,0.020,
2006-09,0.025,
2006-10,0.024,
2006-11,0.024,
2006-12,0.025,
2007-01,0.021,
2007-02,0.023,
2007-03,0.025,
2007-04,0.024,
2007-05,0.024,
2007-06,0.021,
2007-07,0.025,
2007-08,0.021,
2007-09,0.023,
2007-10,0.021,
2007-11,0.020,
2007-12,0.052,
2008-01,0.024,
2008-02,0.022,
2008-03,0.030,
2008-04,0.028,
2008-05,0.049,
2008-06,0.030,
2008-07,0.037,
2008-08,0.038,
2008-09,0.044,
2008-10,0.057,
2008-11,0.085,
2008-12,0.048,
2009-01,0.054,
2009-02,0.051,
2009-03,0.045,
2009-04,0.045,
2009-05,0.043,
2009-06,0.052,
2009-07,0.025,
2009-08,0.024,
2009-09,0.025,
2009-10,0.024,
2009-11,0.025,
2009-12,0.027,
2010-01,0.027,
2010-02,0.030,
2010-03,0.027,
2010-04,0.026,
2010-05,0.028,
2010-06,0.038,
2010-07,0.039,
2010-08,0.043,
2010-09,0.036,
2010-10,0.035,
2010-11,0.049,
2010-12,0.035,
2011-01,0.032,
2011-02,0.033,
2011-03,0.035,
2011-04,0.039,
2011-05,0.044,
2011-06,0.041,
2011-07,0.041,
2011-08,0.046,
2011-09,0.051,
2011-10,0.041,
2011-11,0.038,
2011-12,0.038,
2012-01,0.035,
2012-02,0.033,
2012-03,0.037,
2012-04,0.033,
2012-05,0.031,
2012-06,0.026,
2012-07,0.026,
2012-08,0.030,
2012-09,0.030,
2012-10,0.032,
2012-11,0.035,
2012-12,0.036,
2013-01,0.035,
2013-02,0.033,
2013-03,0.029,
2013-04,0.027,
2013-05,0.028,
2013-06,0.028,
2013-07,0.028,
2013-08,0.030,
2013-09,0.033,
2013-10,0.036,
2013-11,0.030,
2013-12,0.031,
2014-01,0.026,
2014-02,0.030,
2014-03,0.034,
2014-04,0.030,
2014-05,0.027,
2014-06,0.027,
2014-07,0.031,
2014-08,0.031,
2014-09,0.036,
2014-10,0.030,
2014-11,0.030,
2014-12,0.029,
