"",BBK01.OEYL01N,BBK01.OEYL01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:55,
2002-01,8.606,
2002-04,8.584,
2002-07,8.458,
2002-10,8.719,
2003-01,8.653,
2003-04,8.876,
2003-07,8.735,
2003-10,8.831,
2004-01,9.039,
2004-04,9.470,
2004-07,9.235,
2004-10,9.436,
2005-01,9.794,
2005-04,9.657,
2005-07,9.097,
2005-10,9.265,
2006-01,9.383,
2006-04,9.567,
2006-07,9.587,
2006-10,9.855,
2007-01,10.033,
2007-04,10.177,
2007-07,9.792,
2007-10,9.855,
2008-01,9.871,
2008-04,9.865,
2008-07,9.840,
2008-10,9.875,
2009-01,9.951,
2009-04,9.893,
2009-07,9.940,
2009-10,10.060,
2010-01,10.292,
2010-04,10.397,
2010-07,10.357,
2010-10,10.426,
2011-01,10.472,
2011-04,12.555,
2011-07,13.479,
2011-10,14.015,
2012-01,16.627,
2012-04,13.453,
2012-07,13.434,
2012-10,15.292,
2013-01,15.132,
2013-04,15.020,
2013-07,15.104,
2013-10,15.428,
2014-01,15.665,
2014-04,15.389,
2014-07,15.813,
