"",BBK01.OEAA03Q,BBK01.OEAA03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:10,
2002-01,11.062,
2002-04,10.720,
2002-07,10.763,
2002-10,11.745,
2003-01,11.655,
2003-04,12.103,
2003-07,13.167,
2003-10,12.503,
2004-01,11.830,
2004-04,10.541,
2004-07,9.817,
2004-10,9.707,
2005-01,10.268,
2005-04,12.059,
2005-07,13.131,
2005-10,10.593,
2006-01,15.305,
2006-04,15.224,
2006-07,13.556,
2006-10,10.304,
2007-01,15.343,
2007-04,12.014,
2007-07,10.002,
2007-10,13.481,
2008-01,13.483,
2008-04,14.528,
2008-07,12.967,
2008-10,11.729,
2009-01,11.534,
2009-04,12.677,
2009-07,11.983,
2009-10,12.354,
2010-01,10.893,
2010-04,13.188,
2010-07,11.009,
2010-10,11.766,
2011-01,12.359,
2011-04,9.809,
2011-07,9.782,
2011-10,9.206,
2012-01,11.821,
2012-04,12.658,
2012-07,15.316,
2012-10,9.574,
2013-01,8.586,
2013-04,8.289,
2013-07,8.320,
2013-10,8.697,
2014-01,8.447,
2014-04,9.287,
2014-07,9.114,
