"",BBK01.OEAF38L,BBK01.OEAF38L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:24,
2002-01,1.033,
2002-04,0.990,
2002-07,1.073,
2002-10,1.014,
2003-01,1.093,
2003-04,1.106,
2003-07,1.093,
2003-10,1.040,
2004-01,1.034,
2004-04,1.073,
2004-07,1.045,
2004-10,1.019,
2005-01,1.032,
2005-04,0.996,
2005-07,0.937,
2005-10,0.969,
2006-01,0.964,
2006-04,1.010,
2006-07,1.038,
2006-10,1.040,
2007-01,1.003,
2007-04,0.987,
2007-07,0.977,
2007-10,0.952,
2008-01,0.943,
2008-04,0.916,
2008-07,1.021,
2008-10,0.851,
2009-01,0.856,
2009-04,0.805,
2009-07,0.746,
2009-10,0.778,
2010-01,0.766,
2010-04,0.757,
2010-07,0.749,
2010-10,0.753,
2011-01,0.762,
2011-04,0.760,
2011-07,0.755,
2011-10,0.758,
2012-01,0.776,
2012-04,0.772,
2012-07,0.758,
2012-10,0.766,
2013-01,0.737,
2013-04,0.746,
2013-07,0.743,
2013-10,0.731,
2014-01,0.729,
2014-04,0.716,
2014-07,0.725,
