"",BBK01.OEAF15K,BBK01.OEAF15K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:03,
2002-01,2.039,
2002-04,2.125,
2002-07,2.025,
2002-10,1.829,
2003-01,1.691,
2003-04,1.748,
2003-07,1.611,
2003-10,1.677,
2004-01,1.425,
2004-04,1.426,
2004-07,1.433,
2004-10,2.117,
2005-01,1.572,
2005-04,1.576,
2005-07,1.549,
2005-10,1.575,
2006-01,1.498,
2006-04,1.531,
2006-07,1.538,
2006-10,1.566,
2007-01,1.471,
2007-04,1.426,
2007-07,1.457,
2007-10,1.735,
2008-01,1.687,
2008-04,1.472,
2008-07,1.450,
2008-10,1.417,
2009-01,1.407,
2009-04,1.381,
2009-07,1.406,
2009-10,1.510,
2010-01,1.559,
2010-04,2.172,
2010-07,2.587,
2010-10,2.753,
2011-01,2.726,
2011-04,2.880,
2011-07,2.787,
2011-10,2.754,
2012-01,2.764,
2012-04,2.868,
2012-07,2.655,
2012-10,2.717,
2013-01,2.912,
2013-04,2.838,
2013-07,2.794,
2013-10,2.942,
2014-01,2.941,
2014-04,3.124,
2014-07,3.001,
