"",BBK01.OEHB20P,BBK01.OEHB20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:40,
2002-01,3.755,
2002-04,3.790,
2002-07,3.850,
2002-10,3.910,
2003-01,3.961,
2003-04,3.971,
2003-07,4.037,
2003-10,4.081,
2004-01,4.117,
2004-04,4.125,
2004-07,4.168,
2004-10,4.169,
2005-01,4.185,
2005-04,4.193,
2005-07,4.237,
2005-10,4.255,
2006-01,4.276,
2006-04,4.313,
2006-07,4.351,
2006-10,4.347,
2007-01,4.328,
2007-04,4.339,
2007-07,4.353,
2007-10,4.347,
2008-01,4.316,
2008-04,4.320,
2008-07,4.321,
2008-10,4.325,
2009-01,4.337,
2009-04,4.368,
2009-07,4.348,
2009-10,4.351,
2010-01,4.326,
2010-04,4.376,
2010-07,4.429,
2010-10,4.440,
2011-01,4.421,
2011-04,4.437,
2011-07,4.475,
2011-10,4.491,
2012-01,4.481,
2012-04,4.511,
2012-07,4.545,
2012-10,4.564,
2013-01,4.558,
2013-04,4.595,
2013-07,4.647,
2013-10,4.646,
2014-01,4.637,
2014-04,4.675,
2014-07,4.717,
