"",BBK01.CEFK01,BBK01.CEFK01_FLAGS
"",Other equity                                            debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:57,
1999-01,128.6,
1999-04,140.9,
1999-07,139.7,
1999-10,159.4,
2000-01,177.2,
2000-04,187.6,
2000-07,196.1,
2000-10,222.5,
2001-01,207.2,
2001-04,201.7,
2001-07,217.3,
2001-10,269.2,
2002-01,267.9,
2002-04,259.0,
2002-07,260.4,
2002-10,235.5,
2003-01,238.4,
2003-04,228.9,
2003-07,235.9,
2003-10,244.7,
2004-01,221.0,
2004-04,224.4,
2004-07,229.8,
2004-10,226.1,
2005-01,230.1,
2005-04,236.1,
2005-07,244.2,
2005-10,236.4,
2006-01,272.6,
2006-04,266.8,
2006-07,280.1,
2006-10,302.7,
2007-01,302.1,
2007-04,299.2,
2007-07,294.5,
2007-10,268.1,
2008-01,405.3,
2008-04,416.6,
2008-07,414.2,
2008-10,344.9,
2009-01,371.2,
2009-04,384.0,
2009-07,390.7,
2009-10,405.1,
2010-01,419.8,
2010-04,437.1,
2010-07,427.1,
2010-10,443.0,
2011-01,434.2,
2011-04,463.6,
2011-07,469.2,
2011-10,483.7,
2012-01,482.8,
2012-04,493.8,
2012-07,493.3,
2012-10,499.6,
2013-01,508.0,
2013-04,511.1,
2013-07,512.7,
2013-10,522.9,
2014-01,526.9,
2014-04,537.4,
2014-07,553.9,
