"",BBK01.OEXO03S,BBK01.OEXO03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:32,
2002-01,0.194,
2002-04,0.192,
2002-07,0.150,
2002-10,0.128,
2003-01,0.180,
2003-04,0.147,
2003-07,0.138,
2003-10,0.122,
2004-01,0.161,
2004-04,0.118,
2004-07,0.110,
2004-10,0.107,
2005-01,0.117,
2005-04,0.108,
2005-07,0.138,
2005-10,0.122,
2006-01,0.152,
2006-04,0.136,
2006-07,0.132,
2006-10,0.147,
2007-01,0.196,
2007-04,0.154,
2007-07,0.158,
2007-10,0.166,
2008-01,0.218,
2008-04,0.203,
2008-07,0.203,
2008-10,0.270,
2009-01,0.257,
2009-04,0.220,
2009-07,0.195,
2009-10,0.273,
2010-01,0.227,
2010-04,0.135,
2010-07,0.130,
2010-10,0.157,
2011-01,0.172,
2011-04,0.155,
2011-07,0.126,
2011-10,0.153,
2012-01,0.179,
2012-04,0.131,
2012-07,0.149,
2012-10,0.150,
2013-01,0.164,
2013-04,0.134,
2013-07,0.096,
2013-10,0.103,
2014-01,0.101,
2014-04,0.101,
2014-07,0.091,
