"",BBFB1.Q.N.DE.A7.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:16,
1991-01,61.700,
1991-04,67.660,
1991-07,70.295,
1991-10,59.912,
1992-01,71.148,
1992-04,60.578,
1992-07,65.519,
1992-10,63.904,
1993-01,91.256,
1993-04,133.604,
1993-07,67.939,
1993-10,104.638,
1994-01,65.786,
1994-04,68.835,
1994-07,72.291,
1994-10,68.793,
1995-01,73.764,
1995-04,70.707,
1995-07,68.526,
1995-10,72.619,
1996-01,72.499,
1996-04,75.512,
1996-07,79.443,
1996-10,72.687,
1997-01,75.004,
1997-04,81.630,
1997-07,97.841,
1997-10,83.156,
1998-01,82.642,
1998-04,72.911,
1998-07,93.764,
1998-10,91.063,
1999-01,73.520,
1999-04,83.644,
1999-07,99.506,
1999-10,93.084,
2000-01,88.654,
2000-04,85.060,
2000-07,80.581,
2000-10,81.802,
2001-01,84.916,
2001-04,147.500,
2001-07,111.103,
2001-10,78.383,
2002-01,66.541,
2002-04,72.979,
2002-07,82.503,
2002-10,78.473,
2003-01,61.810,
2003-04,66.585,
2003-07,81.578,
2003-10,67.655,
2004-01,64.135,
2004-04,69.227,
2004-07,65.200,
2004-10,63.662,
2005-01,62.064,
2005-04,80.233,
2005-07,89.672,
2005-10,82.650,
2006-01,69.970,
2006-04,64.393,
2006-07,65.439,
2006-10,76.115,
2007-01,74.815,
2007-04,77.886,
2007-07,86.628,
2007-10,85.439,
2008-01,86.792,
2008-04,77.828,
2008-07,95.849,
2008-10,93.080,
2009-01,84.968,
2009-04,74.048,
2009-07,87.867,
2009-10,92.445,
2010-01,71.137,
2010-04,80.725,
2010-07,109.519,
2010-10,83.876,
2011-01,79.739,
2011-04,86.125,
2011-07,85.900,
2011-10,119.800,
2012-01,86.560,
2012-04,78.274,
2012-07,89.233,
2012-10,98.375,
2013-01,87.240,
2013-04,93.494,
2013-07,113.714,
2013-10,131.480,
2014-01,86.092,Provisional value
2014-04,86.832,Provisional value
2014-07,97.029,Provisional value
