"",BBSF2.M.1.S.00000.GEM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:25,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,52388,
1993-05,53028,
1993-06,54468,
1993-07,56550,
1993-08,58407,
1993-09,58347,
1993-10,61444,
1993-11,61921,
1993-12,64513,
1994-01,66157,
1994-02,65714,
1994-03,65794,
1994-04,69273,
1994-05,68670,
1994-06,67746,
1994-07,70038,
1994-08,71036,
1994-09,68197,
1994-10,70091,
1994-11,69410,
1994-12,69500,
1995-01,70518,
1995-02,72142,
1995-03,71232,
1995-04,73340,
1995-05,75489,
1995-06,75469,
1995-07,77807,
1995-08,79222,
1995-09,80312,
1995-10,80119,
1995-11,83060,
1995-12,84793,
1996-01,89935,
1996-02,92122,
1996-03,94215,
1996-04,96891,
1996-05,98426,
1996-06,100065,
1996-07,100005,
1996-08,102835,
1996-09,105629,
1996-10,107951,
1996-11,111968,
1996-12,113042,
1997-01,119450,
1997-02,126315,
1997-03,129688,
1997-04,132492,
1997-05,136230,
1997-06,144603,
1997-07,156801,
1997-08,152377,
1997-09,159026,
1997-10,155066,
1997-11,158777,
1997-12,166583,
1998-01,177082,
1998-02,186128,
1998-03,196961,
1998-04,198862,
1998-05,207585,
1998-06,213827,
1998-07,219629,
1998-08,207808,
1998-09,204103,
1998-10,209777,
1998-11,222452,
1998-12,225805,
1999-01,233216,
1999-02,232627,
1999-03,237495,
1999-04,249165,
1999-05,246828,
1999-06,255315,
1999-07,252859,
1999-08,259808,
1999-09,255927,
1999-10,264107,
1999-11,276928,
1999-12,297085,
2000-01,296474,
2000-02,308124,
2000-03,316153,
2000-04,316590,
2000-05,313608,
2000-06,311395,
2000-07,316141,
2000-08,324648,
2000-09,320432,
2000-10,325789,
2000-11,316189,
2000-12,315568,
2001-01,321465,
2001-02,310528,
2001-03,305114,
2001-04,314218,
2001-05,314802,
2001-06,309085,
2001-07,305631,
2001-08,297449,
2001-09,280803,
2001-10,292196,
2001-11,298988,
2001-12,300117,
2002-01,298361,
2002-02,297511,
2002-03,300646,
2002-04,297339,
2002-05,294182,
2002-06,285029,
2002-07,277673,
2002-08,277781,
2002-09,267941,
2002-10,273694,
2002-11,280830,
2002-12,271393,
2003-01,272793,
2003-02,270545,
2003-03,272356,
2003-04,281127,
2003-05,287504,
2003-06,292695,
2003-07,294291,
2003-08,297325,
2003-09,298331,
2003-10,302804,
2003-11,301174,
2003-12,306676,
2004-01,314346,
2004-02,317311,
2004-03,317616,
2004-04,318303,
2004-05,315606,
2004-06,319474,
2004-07,315657,
2004-08,317407,
2004-09,318792,
2004-10,321664,
2004-11,324443,
2004-12,322540,
2005-01,326794,
2005-02,329209,
2005-03,327120,
2005-04,327355,
2005-05,331934,
2005-06,340028,
2005-07,342839,
2005-08,344414,
2005-09,346407,
2005-10,340136,
2005-11,340290,
2005-12,341019,
2006-01,336883,
2006-02,340744,
2006-03,341244,
2006-04,339720,
2006-05,333926,
2006-06,331476,
2006-07,334542,
2006-08,335567,
2006-09,339894,
2006-10,342914,
2006-11,342723,
2006-12,344590,
2007-01,345097,
2007-02,345989,
2007-03,346665,
2007-04,354452,
2007-05,358291,
2007-06,356714,
2007-07,354003,
2007-08,353187,
2007-09,354784,
2007-10,357708,
2007-11,352580,
2007-12,350735,
2008-01,340190,
2008-02,341197,
2008-03,336267,
2008-04,339564,
2008-05,338186,
2008-06,327850,
2008-07,319631,
2008-08,323522,
2008-09,314888,
2008-10,296467,
2008-11,293151,
2008-12,288440,
2009-01,285577,
2009-02,279887,
2009-03,279829,
2009-04,278430,
2009-05,235514,
2009-06,236291,
2009-07,236600,
2009-08,238856,
2009-09,227858,
2009-10,229755,
2009-11,231532,
2009-12,232444,
2010-01,232183,
2010-02,232899,
2010-03,237315,
2010-04,235221,
2010-05,231787,
2010-06,234696,
2010-07,238899,
2010-08,243534,
2010-09,243160,
2010-10,246375,
2010-11,244980,
2010-12,256557,
2011-01,259161,
2011-02,264169,
2011-03,262928,
2011-04,264913,
2011-05,265703,
2011-06,264072,
2011-07,265119,
2011-08,259517,
2011-09,256293,
2011-10,259452,
2011-11,253618,
2011-12,256099,
2012-01,256784,
2012-02,265165,
2012-03,266729,
2012-04,268498,
2012-05,266516,
2012-06,267636,
2012-07,273728,
2012-08,276863,
2012-09,280217,
2012-10,282916,
2012-11,287817,
2012-12,293621,
2013-01,294872,
2013-02,300756,
2013-03,306727,
2013-04,313376,
2013-05,315061,
2013-06,311352,
2013-07,317869,
2013-08,317480,
2013-09,322002,
2013-10,326977,
2013-11,328701,
2013-12,329803,
2014-01,330810,
2014-02,335847,
2014-03,337364,
2014-04,339606,
2014-05,346152,
2014-06,348085,
2014-07,353407,
2014-08,378202,
2014-09,379462,
2014-10,381493,
2014-11,386783,
