"",BBFB1.Q.N.DE.CZ.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:49,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,96.983,
1993-04,91.781,
1993-07,85.407,
1993-10,75.815,
1994-01,73.791,
1994-04,83.196,
1994-07,98.274,
1994-10,114.611,
1995-01,97.188,
1995-04,100.705,
1995-07,108.061,
1995-10,112.827,
1996-01,90.597,
1996-04,92.391,
1996-07,92.873,
1996-10,90.367,
1997-01,72.176,
1997-04,71.469,
1997-07,68.861,
1997-10,76.483,
1998-01,66.106,
1998-04,70.693,
1998-07,75.389,
1998-10,77.495,
1999-01,57.634,
1999-04,61.759,
1999-07,70.846,
1999-10,78.392,
2000-01,74.909,
2000-04,87.384,
2000-07,85.453,
2000-10,87.881,
2001-01,73.797,
2001-04,76.746,
2001-07,79.751,
2001-10,78.316,
2002-01,67.725,
2002-04,73.983,
2002-07,82.385,
2002-10,80.930,
2003-01,52.954,
2003-04,54.911,
2003-07,59.628,
2003-10,57.125,
2004-01,46.479,
2004-04,53.166,
2004-07,57.807,
2004-10,57.406,
2005-01,47.811,
2005-04,58.660,
2005-07,58.486,
2005-10,67.408,
2006-01,61.753,
2006-04,87.777,
2006-07,93.531,
2006-10,93.051,
2007-01,92.111,
2007-04,102.962,
2007-07,90.849,
2007-10,87.632,
2008-01,38.388,
2008-04,103.054,
2008-07,108.204,
2008-10,80.526,
2009-01,61.527,
2009-04,91.321,
2009-07,131.594,
2009-10,192.836,
2010-01,81.966,
2010-04,92.585,
2010-07,93.091,
2010-10,114.593,
2011-01,91.458,
2011-04,105.917,
2011-07,106.160,
2011-10,112.778,
2012-01,105.640,
2012-04,134.054,
2012-07,138.408,
2012-10,146.655,
2013-01,128.647,
2013-04,151.445,
2013-07,145.783,
2013-10,149.788,
2014-01,126.740,Provisional value
2014-04,405.557,Provisional value
2014-07,153.701,Provisional value
