"",BBK01.CEFZ01,BBK01.CEFZ01_FLAGS
"","Other accounts receivable, excluding trade credits and advances                                                debtor: Total           creditor: Non-financial corporations",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:00,
1999-01,171.2,
1999-04,167.0,
1999-07,175.4,
1999-10,224.3,
2000-01,204.2,
2000-04,227.4,
2000-07,220.9,
2000-10,223.8,
2001-01,242.1,
2001-04,218.6,
2001-07,221.8,
2001-10,236.5,
2002-01,229.3,
2002-04,220.7,
2002-07,223.1,
2002-10,235.5,
2003-01,251.5,
2003-04,245.0,
2003-07,225.7,
2003-10,236.9,
2004-01,236.9,
2004-04,229.0,
2004-07,230.9,
2004-10,251.3,
2005-01,229.7,
2005-04,226.8,
2005-07,236.5,
2005-10,245.4,
2006-01,251.0,
2006-04,256.0,
2006-07,265.0,
2006-10,283.1,
2007-01,292.7,
2007-04,297.2,
2007-07,316.7,
2007-10,326.3,
2008-01,338.3,
2008-04,347.9,
2008-07,382.5,
2008-10,397.7,
2009-01,416.4,
2009-04,340.5,
2009-07,351.9,
2009-10,360.6,
2010-01,343.3,
2010-04,368.1,
2010-07,339.8,
2010-10,144.0,
2011-01,147.5,
2011-04,152.0,
2011-07,111.1,
2011-10,146.5,
2012-01,150.6,
2012-04,145.1,
2012-07,151.9,
2012-10,156.3,
2013-01,183.8,
2013-04,174.4,
2013-07,174.2,
2013-10,193.3,
2014-01,170.4,
2014-04,153.6,
2014-07,144.7,
