"",BBK01.OEXB18G,BBK01.OEXB18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:59,
2002-01,1.745,
2002-04,1.924,
2002-07,1.991,
2002-10,1.883,
2003-01,1.955,
2003-04,1.923,
2003-07,2.034,
2003-10,1.987,
2004-01,2.076,
2004-04,1.899,
2004-07,1.909,
2004-10,1.836,
2005-01,0.987,
2005-04,1.016,
2005-07,0.587,
2005-10,0.594,
2006-01,0.562,
2006-04,0.569,
2006-07,0.573,
2006-10,0.558,
2007-01,0.536,
2007-04,0.541,
2007-07,0.580,
2007-10,0.591,
2008-01,0.600,
2008-04,0.553,
2008-07,0.545,
2008-10,0.599,
2009-01,0.583,
2009-04,0.588,
2009-07,0.572,
2009-10,0.574,
2010-01,0.557,
2010-04,0.525,
2010-07,0.536,
2010-10,0.520,
2011-01,0.499,
2011-04,0.476,
2011-07,0.491,
2011-10,0.485,
2012-01,0.483,
2012-04,0.473,
2012-07,0.462,
2012-10,0.541,
2013-01,0.499,
2013-04,0.521,
2013-07,0.543,
2013-10,0.566,
2014-01,0.544,
2014-04,0.585,
2014-07,0.604,
