"",BBK01.OEHK01N,BBK01.OEHK01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:25,
2002-01,8.172,
2002-04,8.103,
2002-07,8.260,
2002-10,8.308,
2003-01,8.527,
2003-04,8.594,
2003-07,8.515,
2003-10,8.733,
2004-01,8.471,
2004-04,8.401,
2004-07,8.303,
2004-10,8.445,
2005-01,8.374,
2005-04,8.508,
2005-07,8.685,
2005-10,9.004,
2006-01,8.959,
2006-04,9.114,
2006-07,9.241,
2006-10,9.788,
2007-01,9.706,
2007-04,9.767,
2007-07,10.175,
2007-10,10.772,
2008-01,10.486,
2008-04,10.681,
2008-07,10.875,
2008-10,11.851,
2009-01,11.283,
2009-04,11.284,
2009-07,11.186,
2009-10,11.334,
2010-01,11.370,
2010-04,11.274,
2010-07,11.335,
2010-10,11.754,
2011-01,11.580,
2011-04,11.659,
2011-07,11.960,
2011-10,12.252,
2012-01,12.046,
2012-04,12.018,
2012-07,12.326,
2012-10,12.532,
2013-01,12.472,
2013-04,12.535,
2013-07,12.652,
2013-10,13.116,
2014-01,13.203,
2014-04,13.276,
2014-07,13.492,
