"",BBFB1.Q.N.DE.PT.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:31,
1991-01,1.284,
1991-04,1.240,
1991-07,2.305,
1991-10,1.539,
1992-01,1.380,
1992-04,1.053,
1992-07,1.795,
1992-10,2.006,
1993-01,1.651,
1993-04,1.366,
1993-07,1.275,
1993-10,1.823,
1994-01,1.469,
1994-04,1.435,
1994-07,1.321,
1994-10,1.532,
1995-01,1.259,
1995-04,-1.630,
1995-07,28.153,
1995-10,1.829,
1996-01,11.572,
1996-04,1.331,
1996-07,1.532,
1996-10,1.924,
1997-01,1.705,
1997-04,1.754,
1997-07,2.778,
1997-10,3.950,
1998-01,2.046,
1998-04,4.107,
1998-07,3.587,
1998-10,2.853,
1999-01,3.814,
1999-04,5.042,
1999-07,2.041,
1999-10,4.354,
2000-01,2.032,
2000-04,3.405,
2000-07,2.413,
2000-10,2.051,
2001-01,0.633,
2001-04,1.694,
2001-07,1.144,
2001-10,-0.140,
2002-01,1.125,
2002-04,1.938,
2002-07,3.032,
2002-10,1.299,
2003-01,1.345,
2003-04,3.024,
2003-07,1.167,
2003-10,1.749,
2004-01,1.152,
2004-04,2.697,
2004-07,3.222,
2004-10,1.922,
2005-01,1.943,
2005-04,2.219,
2005-07,1.052,
2005-10,1.833,
2006-01,1.206,
2006-04,11.634,
2006-07,3.521,
2006-10,2.378,
2007-01,2.603,
2007-04,13.666,
2007-07,5.711,
2007-10,3.414,
2008-01,1.108,
2008-04,5.850,
2008-07,2.044,
2008-10,2.931,
2009-01,1.665,
2009-04,15.010,
2009-07,0.771,
2009-10,1.048,
2010-01,2.314,
2010-04,4.442,
2010-07,2.081,
2010-10,4.639,
2011-01,-2.906,
2011-04,17.102,
2011-07,4.749,
2011-10,7.088,
2012-01,2.848,
2012-04,17.433,
2012-07,5.680,
2012-10,4.824,
2013-01,1.655,
2013-04,6.975,
2013-07,1.435,
2013-10,7.277,
2014-01,-0.503,Provisional value
2014-04,8.344,Provisional value
2014-07,7.299,Provisional value
