"",BBK01.OEAD17N,BBK01.OEAD17N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:29,
2002-01,1.488,
2002-04,1.438,
2002-07,1.401,
2002-10,1.237,
2003-01,1.174,
2003-04,1.347,
2003-07,1.226,
2003-10,1.126,
2004-01,1.068,
2004-04,1.055,
2004-07,0.884,
2004-10,0.722,
2005-01,0.803,
2005-04,0.717,
2005-07,0.703,
2005-10,0.600,
2006-01,0.610,
2006-04,0.695,
2006-07,0.722,
2006-10,0.654,
2007-01,0.654,
2007-04,0.733,
2007-07,0.645,
2007-10,0.654,
2008-01,0.646,
2008-04,0.618,
2008-07,0.569,
2008-10,0.650,
2009-01,0.631,
2009-04,0.616,
2009-07,0.603,
2009-10,0.445,
2010-01,0.541,
2010-04,0.687,
2010-07,0.485,
2010-10,0.432,
2011-01,0.536,
2011-04,0.631,
2011-07,0.624,
2011-10,0.516,
2012-01,0.559,
2012-04,0.657,
2012-07,0.650,
2012-10,0.586,
2013-01,0.672,
2013-04,0.693,
2013-07,0.643,
2013-10,0.560,
2014-01,0.712,
2014-04,0.673,
2014-07,0.557,
