"",BBK01.OEXO03U,BBK01.OEXO03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:02,
2002-01,0.199,
2002-04,0.191,
2002-07,0.164,
2002-10,0.128,
2003-01,0.185,
2003-04,0.149,
2003-07,0.144,
2003-10,0.128,
2004-01,0.144,
2004-04,0.133,
2004-07,0.110,
2004-10,0.115,
2005-01,0.127,
2005-04,0.125,
2005-07,0.148,
2005-10,0.117,
2006-01,0.154,
2006-04,0.166,
2006-07,0.142,
2006-10,0.154,
2007-01,0.202,
2007-04,0.155,
2007-07,0.157,
2007-10,0.182,
2008-01,0.222,
2008-04,0.197,
2008-07,0.224,
2008-10,0.266,
2009-01,0.253,
2009-04,0.237,
2009-07,0.186,
2009-10,0.243,
2010-01,0.237,
2010-04,0.145,
2010-07,0.143,
2010-10,0.151,
2011-01,0.168,
2011-04,0.136,
2011-07,0.131,
2011-10,0.154,
2012-01,0.174,
2012-04,0.123,
2012-07,0.152,
2012-10,0.187,
2013-01,0.173,
2013-04,0.138,
2013-07,0.109,
2013-10,0.106,
2014-01,0.116,
2014-04,0.108,
2014-07,0.110,
