"",BBEX3.M.CNY.HKD.CA.AC.A01,BBEX3.M.CNY.HKD.CA.AC.A01_FLAGS
"",Exchange rates for the Hong Kong dollar in China / HKD 1 = CNY ... (middle),
unit,CNY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:45,
1997-06,1.06960,
1997-07,1.07010,
1997-08,1.07020,
1997-09,1.07040,
1997-10,1.07210,
1997-11,1.07150,
1997-12,1.06810,
1998-01,1.07040,
1998-02,1.06980,
1998-03,1.06920,
1998-04,1.06830,
1998-05,1.06920,
1998-06,1.06890,
1998-07,1.06810,
1998-08,1.06920,
1998-09,1.06730,
1998-10,1.06730,
1998-11,1.06830,
1998-12,1.06780,
1999-01,1.06750,
1999-02,1.06740,
1999-03,1.06850,
1999-04,1.06830,
1999-05,1.06730,
1999-06,1.06660,
1999-07,1.06580,
1999-08,1.06550,
1999-09,1.06540,
1999-10,1.06530,
1999-11,1.06510,
1999-12,1.06500,
2000-01,1.06350,
2000-02,1.06380,
2000-03,1.06370,
2000-04,1.06260,
2000-05,1.06150,
2000-06,1.06240,
2000-07,1.06160,
2000-08,1.06090,
2000-09,1.06150,
2000-10,1.06070,
2000-11,1.06110,
2000-12,1.06060,
2001-01,1.06040,
2001-02,1.06130,
2001-03,1.06140,
2001-04,1.06150,
2001-05,1.06120,
2001-06,1.06120,
2001-07,1.06040,
2001-08,1.06120,
2001-09,1.06110,
2001-10,1.06060,
2001-11,1.06120,
2001-12,1.06110,
2002-01,1.06080,
2002-02,1.06070,
2002-03,1.06100,
2002-04,1.06060,
2002-05,1.06050,
2002-06,1.06060,
2002-07,1.06080,
2002-08,1.06070,
2002-09,1.06070,
2002-10,1.06110,
2002-11,1.06090,
2002-12,1.06110,
2003-01,1.06080,
2003-02,1.06110,
2003-03,1.06110,
2003-04,1.06110,
2003-05,1.06110,
2003-06,1.06120,
2003-07,1.06100,
2003-08,1.06080,
2003-09,1.06830,
2003-10,1.06620,
2003-11,1.06530,
2003-12,1.06570,
2004-01,1.06420,
2004-02,1.06310,
2004-03,1.06140,
2004-04,1.06080,
2004-05,1.06160,
2004-06,1.06090,
2004-07,1.06100,
2004-08,1.06070,
2004-09,1.06110,
2004-10,1.06360,
2004-11,1.06400,
2004-12,1.06370,
2005-01,1.06090,
2005-02,1.06070,
2005-03,1.06080,
2005-04,1.06090,
2005-05,1.06360,
2005-06,1.06490,
2005-07,1.04230,
2005-08,1.04180,
2005-09,1.04300,
2005-10,1.04250,
2005-11,1.04160,
2005-12,1.04030,
2006-01,1.03940,
2006-02,1.03650,
2006-03,1.03310,
2006-04,1.03870,
2006-05,1.03360,
2006-06,1.02940,
2006-07,1.02590,
2006-08,1.02330,
2006-09,1.01540,
2006-10,1.01340,
2006-11,1.00870,
2006-12,1.00470,
2007-01,0.99620,
2007-02,0.99070,
2007-03,0.98930,
2007-04,0.98520,
2007-05,0.98000,
2007-06,0.97300,
2007-07,0.96810,
2007-08,0.96990,
2007-09,0.96830,
2007-10,0.96380,
2007-11,0.95010,
2007-12,0.93640,
2008-01,0.92102,
2008-02,0.91353,
2008-03,0.90194,
2008-04,0.89833,
2008-05,0.88881,
2008-06,0.87917,
2008-07,0.87647,
2008-08,0.87529,
2008-09,0.87654,
2008-10,0.88055,
2008-11,0.88159,
2008-12,0.88189,
2009-01,0.88127,
2009-02,0.88182,
2009-03,0.88203,
2009-04,0.88061,
2009-05,0.88130,
2009-06,0.88153,
2009-07,0.88158,
2009-08,0.88133,
2009-09,0.88114,
2009-10,0.88102,
2009-11,0.88091,
2009-12,0.88048,
2010-01,0.87834,
2010-02,0.87930,
2010-03,0.87922,
2010-04,0.87905,
2010-05,0.87659,
2010-06,0.87239,
2010-07,0.87236,
2010-08,0.87528,
2010-09,0.86349,
2010-10,0.86256,
2010-11,0.85979,
2010-12,0.85093,
2011-01,0.84560,
2011-02,0.84363,
2011-03,0.84225,
2011-04,0.83639,
2011-05,0.83368,
2011-06,0.83162,
2011-07,0.82696,
2011-08,0.81923,
2011-09,0.81539,
2011-10,0.81441,
2011-11,0.81500,
2011-12,0.81070,
2012-01,0.81363,
2012-02,0.81132,
2012-03,0.81063,
2012-04,0.80922,
2012-05,0.81583,
2012-06,0.81522,
2012-07,0.81649,
2012-08,0.81803,
2012-09,0.81782,
2012-10,0.81291,
2012-11,0.81150,
2012-12,0.81085,
2013-01,0.80941,
2013-02,0.80934,
2013-03,0.80760,
2013-04,0.80119,
2013-05,0.79599,
2013-06,0.79655,
2013-07,0.79672,
2013-08,0.79569,
2013-09,0.79287,
2013-10,0.79226,
2013-11,0.79103,
2013-12,0.78623,
2014-01,0.78625,
2014-02,0.78878,
2014-03,0.79305,
2014-04,0.79425,
2014-05,0.79578,
2014-06,0.79375,
2014-07,0.79581,
2014-08,0.79543,
2014-09,0.79246,
2014-10,0.79252,
2014-11,0.79126,
2014-12,0.78887,
2015-01,0.79165,
"","Source: People's Bank of China, Peking.",
