"",BBFB1.Q.N.DE.BE.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:01,
1991-01,-33.790,
1991-04,-6.218,
1991-07,-40.184,
1991-10,-25.630,
1992-01,-22.717,
1992-04,-8.276,
1992-07,-25.590,
1992-10,-24.127,
1993-01,-32.171,
1993-04,-20.373,
1993-07,-16.215,
1993-10,7.507,
1994-01,-24.068,
1994-04,-2.420,
1994-07,-23.173,
1994-10,-29.307,
1995-01,-24.399,
1995-04,-3.202,
1995-07,-27.616,
1995-10,-22.353,
1996-01,-23.655,
1996-04,-13.836,
1996-07,-7.658,
1996-10,-16.692,
1997-01,-28.170,
1997-04,-10.388,
1997-07,-32.778,
1997-10,-28.567,
1998-01,-23.198,
1998-04,24.312,
1998-07,-82.774,
1998-10,-36.626,
1999-01,-32.379,
1999-04,14.312,
1999-07,-33.937,
1999-10,-20.691,
2000-01,-41.676,
2000-04,16.561,
2000-07,69.139,
2000-10,-24.972,
2001-01,-45.337,
2001-04,-67.405,
2001-07,-28.556,
2001-10,-37.523,
2002-01,-35.735,
2002-04,142.966,
2002-07,-32.391,
2002-10,-90.919,
2003-01,-16.980,
2003-04,60.357,
2003-07,-22.526,
2003-10,-19.704,
2004-01,-35.310,
2004-04,63.427,
2004-07,-46.574,
2004-10,-36.514,
2005-01,-34.528,
2005-04,77.329,
2005-07,-38.572,
2005-10,-35.577,
2006-01,-25.157,
2006-04,190.708,
2006-07,-27.419,
2006-10,-22.573,
2007-01,-4.397,
2007-04,-133.236,
2007-07,-44.085,
2007-10,-375.108,
2008-01,-13.627,
2008-04,231.569,
2008-07,-54.649,
2008-10,-23.038,
2009-01,-34.465,
2009-04,200.703,
2009-07,-48.913,
2009-10,-31.604,
2010-01,-3.525,
2010-04,246.377,
2010-07,-62.468,
2010-10,-401.221,
2011-01,-14.469,
2011-04,298.746,
2011-07,-10.934,
2011-10,-4.229,
2012-01,-31.322,
2012-04,143.468,
2012-07,-62.235,
2012-10,-66.288,
2013-01,-32.312,
2013-04,36.217,
2013-07,-5.906,
2013-10,-7.685,
2014-01,30.693,Provisional value
2014-04,374.381,Provisional value
2014-07,-12.556,Provisional value
