"",BBK01.OXA8K6,BBK01.OXA8K6_FLAGS
"","Consumer credit to domestic households and non-profit institutions serving households, traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:39,
2009-12,4.640,
2010-01,4.421,
2010-02,-,Nothing exists
2010-03,3.972,
2010-04,-,Nothing exists
2010-05,4.052,
2010-06,3.823,
2010-07,3.596,
2010-08,3.387,
2010-09,3.171,
2010-10,3.004,
2010-11,2.789,
2010-12,2.518,
2011-01,2.347,
2011-02,2.914,
2011-03,2.744,
2011-04,2.597,
2011-05,2.426,
2011-06,3.316,
2011-07,3.810,
2011-08,3.667,
2011-09,3.468,
2011-10,3.340,
2011-11,3.230,
2011-12,3.124,
2012-01,2.993,
2012-02,2.880,
2012-03,2.737,
2012-04,2.658,
2012-05,2.585,
2012-06,2.451,
2012-07,2.343,
2012-08,2.289,
2012-09,2.223,
2012-10,2.155,
2012-11,2.071,
2012-12,2.077,
2013-01,1.913,
2013-02,2.686,
2013-03,2.563,
2013-04,2.426,
2013-05,2.290,
2013-06,2.168,
2013-07,2.669,
2013-08,2.549,
2013-09,2.406,
2013-10,2.302,
2013-11,2.211,
2013-12,2.134,
2014-01,2.046,
2014-02,1.962,
2014-03,1.872,
2014-04,1.787,
2014-05,2.899,
2014-06,2.751,
2014-07,2.623,
2014-08,2.566,
2014-09,2.470,
2014-10,2.335,
2014-11,2.966,
2014-12,2.872,Provisional value
