"",BBK01.OECO02I,BBK01.OECO02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:04,
2002-01,0.290,
2002-04,0.237,
2002-07,0.146,
2002-10,0.235,
2003-01,0.173,
2003-04,0.204,
2003-07,0.274,
2003-10,0.178,
2004-01,0.228,
2004-04,0.165,
2004-07,0.364,
2004-10,0.194,
2005-01,0.514,
2005-04,0.488,
2005-07,0.574,
2005-10,0.396,
2006-01,0.490,
2006-04,0.537,
2006-07,0.435,
2006-10,0.457,
2007-01,0.731,
2007-04,0.454,
2007-07,0.405,
2007-10,0.596,
2008-01,0.578,
2008-04,0.675,
2008-07,0.359,
2008-10,0.517,
2009-01,0.749,
2009-04,0.684,
2009-07,0.801,
2009-10,0.623,
2010-01,0.721,
2010-04,0.522,
2010-07,0.374,
2010-10,0.445,
2011-01,0.506,
2011-04,0.515,
2011-07,0.498,
2011-10,0.424,
2012-01,0.839,
2012-04,0.361,
2012-07,0.427,
2012-10,0.420,
2013-01,0.615,
2013-04,0.393,
2013-07,0.331,
2013-10,0.293,
2014-01,0.210,
2014-04,0.167,
2014-07,0.412,
