"",BBK01.OEAF23I,BBK01.OEAF23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:38,
2002-01,0.251,
2002-04,0.255,
2002-07,0.255,
2002-10,0.247,
2003-01,0.247,
2003-04,0.247,
2003-07,0.219,
2003-10,0.202,
2004-01,0.423,
2004-04,0.430,
2004-07,0.429,
2004-10,0.476,
2005-01,0.438,
2005-04,0.437,
2005-07,0.466,
2005-10,0.457,
2006-01,0.438,
2006-04,0.425,
2006-07,0.406,
2006-10,0.377,
2007-01,0.345,
2007-04,0.330,
2007-07,0.315,
2007-10,0.378,
2008-01,0.358,
2008-04,0.331,
2008-07,0.324,
2008-10,0.287,
2009-01,0.273,
2009-04,0.253,
2009-07,0.238,
2009-10,0.192,
2010-01,0.213,
2010-04,0.212,
2010-07,0.209,
2010-10,0.195,
2011-01,0.186,
2011-04,0.180,
2011-07,0.177,
2011-10,0.178,
2012-01,0.182,
2012-04,0.188,
2012-07,0.181,
2012-10,0.175,
2013-01,0.167,
2013-04,0.165,
2013-07,0.159,
2013-10,0.149,
2014-01,0.138,
2014-04,0.132,
2014-07,0.124,
