"",BBK01.BQM104,BBK01.BQM104_FLAGS
"","Central government debt - of which securities other than shares, excl. financial derivates",
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:31,
2000-01,680830,
2000-04,683693,
2000-07,685998,
2000-10,695732,
2001-01,672061,
2001-04,677418,
2001-07,685090,
2001-10,693365,
2002-01,702105,
2002-04,713670,
2002-07,728482,
2002-10,727625,
2003-01,746160,
2003-04,748495,
2003-07,754148,
2003-10,767027,
2004-01,788074,
2004-04,795858,
2004-07,807875,
2004-10,810605,
2005-01,820407,
2005-04,838422,
2005-07,849886,
2005-10,859820,
2006-01,864397,
2006-04,878673,
2006-07,891301,
2006-10,898939,
2007-01,893735,
2007-04,910679,
2007-07,897476,
2007-10,917583,
2008-01,917196,
2008-04,920169,
2008-07,929234,
2008-10,928753,
2009-01,958916,
2009-04,1008820,
2009-07,1009330,
2009-10,1013071,
2010-01,1030148,Provisional value
2010-04,1038842,Provisional value
2010-07,1053470,Provisional value
2010-10,1084018,Provisional value
2011-01,1108167,Provisional value
2011-04,1128316,Provisional value
2011-07,1136997,Provisional value
2011-10,1121330,Provisional value
2012-01,1146088,Provisional value
2012-04,1160436,Provisional value
2012-07,1169298,Provisional value
2012-10,1177167,Provisional value
2013-01,1186737,Provisional value
2013-04,1185557,Provisional value
2013-07,1187160,Provisional value
2013-10,1192024,Provisional value
2014-01,1202718,Provisional value
2014-04,1208070,Provisional value
2014-07,1204045,Provisional value
