"",BBK01.OECI10H,BBK01.OECI10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:19,
2002-01,0.399,
2002-04,0.400,
2002-07,0.394,
2002-10,0.396,
2003-01,0.386,
2003-04,0.309,
2003-07,0.280,
2003-10,0.271,
2004-01,0.262,
2004-04,0.252,
2004-07,0.244,
2004-10,0.239,
2005-01,0.300,
2005-04,0.305,
2005-07,0.269,
2005-10,0.256,
2006-01,0.240,
2006-04,0.251,
2006-07,0.241,
2006-10,0.231,
2007-01,0.209,
2007-04,0.199,
2007-07,0.198,
2007-10,0.170,
2008-01,0.148,
2008-04,0.140,
2008-07,0.132,
2008-10,0.126,
2009-01,0.131,
2009-04,0.121,
2009-07,0.105,
2009-10,0.090,
2010-01,0.084,
2010-04,0.105,
2010-07,0.163,
2010-10,0.115,
2011-01,0.110,
2011-04,0.043,
2011-07,0.016,
2011-10,0.011,
2012-01,0.001,
2012-04,0.022,
2012-07,0.078,
2012-10,0.027,
2013-01,0.012,
2013-04,0.001,
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
