"",BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:37,
1991-01,-37.131,
1991-04,1248.962,
1991-07,-474.570,
1991-10,-528.163,
1992-01,308.588,
1992-04,713.269,
1992-07,-1422.598,
1992-10,273.870,
1993-01,2094.623,
1993-04,-1693.970,
1993-07,-474.310,
1993-10,822.899,
1994-01,-864.327,
1994-04,-1357.159,
1994-07,2746.157,
1994-10,582.532,
1995-01,-987.213,
1995-04,856.988,
1995-07,2918.507,
1995-10,-915.888,
1996-01,1142.773,
1996-04,1843.730,
1996-07,1261.956,
1996-10,-776.402,
1997-01,994.338,
1997-04,1577.455,
1997-07,-2595.397,
1997-10,1908.510,
1998-01,-844.284,
1998-04,445.384,
1998-07,-890.943,
1998-10,9566.528,
1999-01,-8805.873,
1999-04,-2486.432,
1999-07,1943.659,
1999-10,2144.865,
2000-01,3046.595,
2000-04,3983.465,
2000-07,-1953.609,
2000-10,-2899.515,
2001-01,-1310.918,
2001-04,-1330.726,
2001-07,-241.334,
2001-10,-2.291,
2002-01,534.851,
2002-04,-579.471,
2002-07,-1795.291,
2002-10,470.807,
2003-01,-1172.734,
2003-04,-188.732,
2003-07,214.624,
2003-10,-337.894,
2004-01,-180.153,
2004-04,-252.869,
2004-07,1239.707,
2004-10,-438.995,
2005-01,-3291.392,
2005-04,0.264,
2005-07,2173.580,
2005-10,460.283,
2006-01,-1973.869,
2006-04,-1964.703,
2006-07,-2740.889,
2006-10,1968.489,
2007-01,-90.276,
2007-04,2799.920,
2007-07,-2110.071,
2007-10,3959.289,
2008-01,1094.503,
2008-04,6647.105,
2008-07,-3050.421,
2008-10,-7623.629,
2009-01,-2731.321,
2009-04,313.284,
2009-07,1068.904,
2009-10,163.347,
2010-01,182.619,
2010-04,539.497,
2010-07,-116.356,
2010-10,-735.802,
2011-01,-489.860,
2011-04,622.898,
2011-07,-1521.674,
2011-10,1531.158,
2012-01,1593.315,
2012-04,-2148.857,
2012-07,395.130,
2012-10,370.249,
2013-01,637.907,
2013-04,-939.010,
2013-07,686.566,
2013-10,-814.010,
2014-01,167.561,Provisional value
2014-04,1490.127,Provisional value
2014-07,-94.716,Provisional value
2014-10,553.451,Provisional value
