"",BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:14,
1991-01,15414.923,
1991-04,-118.799,
1991-07,3592.777,
1991-10,20970.830,
1992-01,8692.178,
1992-04,4152.718,
1992-07,4161.749,
1992-10,38214.363,
1993-01,50695.351,
1993-04,32012.323,
1993-07,10483.274,
1993-10,41405.854,
1994-01,-6302.718,
1994-04,-13531.196,
1994-07,11684.390,
1994-10,39567.978,
1995-01,13176.787,
1995-04,30587.125,
1995-07,10822.597,
1995-10,14306.325,
1996-01,15147.752,
1996-04,13342.699,
1996-07,6450.825,
1996-10,52134.381,
1997-01,59666.562,
1997-04,41425.867,
1997-07,32203.405,
1997-10,52002.750,
1998-01,89409.986,
1998-04,74405.931,
1998-07,26002.055,
1998-10,90010.707,
1999-01,127292.956,
1999-04,71474.305,
1999-07,65446.293,
1999-10,98421.268,
2000-01,159589.198,
2000-04,90160.644,
2000-07,96105.366,
2000-10,28303.944,
2001-01,156772.711,
2001-04,59980.159,
2001-07,54572.921,
2001-10,30595.193,
2002-01,54077.695,
2002-04,69627.510,
2002-07,84180.155,
2002-10,30708.546,
2003-01,117556.495,
2003-04,82475.646,
2003-07,12786.156,
2003-10,37802.909,
2004-01,87233.823,
2004-04,19038.788,
2004-07,105949.052,
2004-10,39443.274,
2005-01,162127.340,
2005-04,82994.255,
2005-07,72005.256,
2005-10,45182.944,
2006-01,190547.303,
2006-04,76366.834,
2006-07,78672.192,
2006-10,106507.233,
2007-01,160584.765,
2007-04,207266.537,
2007-07,111003.483,
2007-10,95429.650,
2008-01,223067.503,
2008-04,47796.269,
2008-07,59196.991,
2008-10,-127681.166,
2009-01,-25883.104,
2009-04,72921.166,
2009-07,-28289.523,
2009-10,25086.263,
2010-01,94191.739,
2010-04,123736.164,
2010-07,87180.698,
2010-10,100050.918,
2011-01,55105.977,
2011-04,76716.478,
2011-07,160698.762,
2011-10,-53057.879,
2012-01,249659.109,
2012-04,115452.017,
2012-07,19117.218,
2012-10,-42045.769,
2013-01,16546.216,
2013-04,53070.055,
2013-07,-14633.531,
2013-10,-56642.773,
2014-01,74072.636,Provisional value
2014-04,75798.031,Provisional value
2014-07,57502.959,Provisional value
2014-10,-38627.112,Provisional value
