"",BBK01.OELB05O,BBK01.OELB05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:29,
2002-01,24.072,
2002-04,24.191,
2002-07,24.316,
2002-10,24.224,
2003-01,24.198,
2003-04,24.307,
2003-07,24.443,
2003-10,24.548,
2004-01,24.465,
2004-04,24.645,
2004-07,24.778,
2004-10,24.895,
2005-01,24.793,
2005-04,24.755,
2005-07,24.900,
2005-10,24.884,
2006-01,24.896,
2006-04,25.096,
2006-07,25.181,
2006-10,25.052,
2007-01,25.080,
2007-04,25.205,
2007-07,25.328,
2007-10,24.788,
2008-01,24.808,
2008-04,25.006,
2008-07,25.179,
2008-10,25.289,
2009-01,25.328,
2009-04,25.431,
2009-07,25.642,
2009-10,25.686,
2010-01,25.658,
2010-04,25.937,
2010-07,26.123,
2010-10,26.250,
2011-01,26.400,
2011-04,26.722,
2011-07,26.949,
2011-10,27.115,
2012-01,27.365,
2012-04,28.441,
2012-07,28.829,
2012-10,29.100,
2013-01,29.331,
2013-04,29.635,
2013-07,30.166,
2013-10,30.344,
2014-01,31.005,
2014-04,31.330,
2014-07,31.608,
