"",BBFN1.M.DE.N.1.L.CY.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CY.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1997-06,0.065,
1997-07,0.057,
1997-08,0.055,
1997-09,0.053,
1997-10,0.050,
1997-11,0.049,
1997-12,0.042,
1998-01,0.043,
1998-02,0.042,
1998-03,0.047,
1998-04,0.046,
1998-05,0.046,
1998-06,0.067,
1998-07,0.047,
1998-08,0.047,
1998-09,0.048,
1998-10,0.048,
1998-11,0.041,
1998-12,0.039,
1999-01,0.039,
1999-02,0.038,
1999-03,0.043,
1999-04,0.046,
1999-05,0.041,
1999-06,0.073,
1999-07,0.044,
1999-08,0.045,
1999-09,0.047,
1999-10,0.048,
1999-11,0.048,
1999-12,0.038,
2000-01,0.039,
2000-02,0.038,
2000-03,0.034,
2000-04,0.033,
2000-05,0.039,
2000-06,0.066,
2000-07,0.035,
2000-08,0.034,
2000-09,0.038,
2000-10,0.042,
2000-11,0.054,
2000-12,0.055,
2001-01,0.056,
2001-02,0.055,
2001-03,0.053,
2001-04,0.059,
2001-05,0.059,
2001-06,0.108,
2001-07,0.061,
2001-08,0.065,
2001-09,0.063,
2001-10,0.058,
2001-11,0.060,
2001-12,0.057,
2002-01,0.062,
2002-02,0.062,
2002-03,0.053,
2002-04,.,No value available
2002-05,0.063,
2002-06,0.107,
2002-07,0.074,
2002-08,0.075,
2002-09,.,No value available
2002-10,.,No value available
2002-11,.,No value available
2002-12,0.068,
2003-01,0.069,
2003-02,0.074,
2003-03,0.083,
2003-04,0.084,
2003-05,0.085,
2003-06,0.107,
2003-07,0.122,
2003-08,0.131,
2003-09,0.096,
2003-10,0.093,
2003-11,0.084,
2003-12,0.089,
2004-01,0.077,
2004-02,0.075,
2004-03,0.078,
2004-04,0.069,
2004-05,0.060,
2004-06,0.137,
2004-07,0.066,
2004-08,0.063,
2004-09,0.075,
2004-10,0.064,
2004-11,.,No value available
2004-12,0.084,
2005-01,0.074,
2005-02,0.063,
2005-03,0.063,
2005-04,.,No value available
2005-05,.,No value available
2005-06,0.131,
2005-07,0.068,
2005-08,0.062,
2005-09,0.067,
2005-10,0.059,
2005-11,0.061,
2005-12,0.085,
2006-01,0.075,
2006-02,0.064,
2006-03,0.074,
2006-04,0.081,
2006-05,0.072,
2006-06,0.139,
2006-07,0.067,
2006-08,0.081,
2006-09,0.081,
2006-10,0.072,
2006-11,0.068,
2006-12,0.109,
2007-01,0.090,
2007-02,0.087,
2007-03,0.076,
2007-04,0.079,
2007-05,0.095,
2007-06,0.175,
2007-07,0.146,
2007-08,0.150,
2007-09,0.154,
2007-10,0.222,
2007-11,0.141,
2007-12,0.188,
2008-01,0.151,
2008-02,0.156,
2008-03,0.150,
2008-04,0.131,
2008-05,0.125,
2008-06,0.164,
2008-07,0.152,
2008-08,0.155,
2008-09,0.177,
2008-10,0.125,
2008-11,0.125,
2008-12,0.192,
2009-01,0.149,
2009-02,0.125,
2009-03,0.121,
2009-04,0.117,
2009-05,0.131,
2009-06,0.194,
2009-07,0.136,
2009-08,0.138,
2009-09,0.135,
2009-10,0.130,
2009-11,0.128,
2009-12,0.180,
2010-01,0.162,
2010-02,0.148,
2010-03,0.122,
2010-04,0.135,
2010-05,0.079,
2010-06,0.100,
2010-07,0.094,
2010-08,0.079,
2010-09,0.063,
2010-10,0.060,
2010-11,0.053,
2010-12,0.054,
2011-01,0.047,
2011-02,0.045,
2011-03,0.049,
2011-04,0.060,
2011-05,0.037,
2011-06,0.038,
2011-07,0.031,
2011-08,0.027,
2011-09,0.032,
2011-10,0.055,
2011-11,0.056,
2011-12,0.063,
2012-01,0.057,
2012-02,0.058,
2012-03,0.077,
2012-04,0.076,
2012-05,0.072,
2012-06,0.051,
2012-07,0.050,
2012-08,0.041,
2012-09,0.049,
2012-10,0.044,
2012-11,0.041,
2012-12,0.057,
2013-01,0.055,
2013-02,0.067,
2013-03,0.067,
2013-04,0.066,
2013-05,0.071,
2013-06,0.076,
2013-07,0.065,
2013-08,0.064,
2013-09,0.117,
2013-10,0.118,
2013-11,0.117,
2013-12,0.127,
2014-01,0.124,
2014-02,0.158,
2014-03,0.138,
2014-04,0.148,
2014-05,0.117,
2014-06,0.148,
2014-07,0.108,
2014-08,0.111,
2014-09,0.110,
2014-10,0.111,
2014-11,0.120,
2014-12,0.127,
