"",BBSF2.M.1.P.00000.TOT01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:46,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,3667,
1993-05,3783,
1993-06,4523,
1993-07,4731,
1993-08,4845,
1993-09,4398,
1993-10,4130,
1993-11,5445,
1993-12,4933,
1994-01,5641,
1994-02,5358,
1994-03,6282,
1994-04,5317,
1994-05,6323,
1994-06,5661,
1994-07,5883,
1994-08,5710,
1994-09,5195,
1994-10,5125,
1994-11,4664,
1994-12,5107,
1995-01,5553,
1995-02,5750,
1995-03,5758,
1995-04,5229,
1995-05,4697,
1995-06,5050,
1995-07,4975,
1995-08,4614,
1995-09,3941,
1995-10,4393,
1995-11,4465,
1995-12,4132,
1996-01,4128,
1996-02,4191,
1996-03,4015,
1996-04,4323,
1996-05,4530,
1996-06,4428,
1996-07,4754,
1996-08,3944,
1996-09,4245,
1996-10,4105,
1996-11,4074,
1996-12,4295,
1997-01,5336,
1997-02,5510,
1997-03,5662,
1997-04,5514,
1997-05,5884,
1997-06,5534,
1997-07,5855,
1997-08,5955,
1997-09,6225,
1997-10,6107,
1997-11,6495,
1997-12,6924,
1998-01,7126,
1998-02,6192,
1998-03,6542,
1998-04,6157,
1998-05,6575,
1998-06,6417,
1998-07,6346,
1998-08,7264,
1998-09,7905,
1998-10,8161,
1998-11,7617,
1998-12,7739,
1999-01,7829,
1999-02,7164,
1999-03,6032,
1999-04,6809,
1999-05,7486,
1999-06,7024,
1999-07,7629,
1999-08,7265,
1999-09,7699,
1999-10,7870,
1999-11,7672,
1999-12,8220,
2000-01,9203,
2000-02,9376,
2000-03,10590,
2000-04,13537,
2000-05,14538,
2000-06,11827,
2000-07,13877,
2000-08,12159,
2000-09,13847,
2000-10,14457,
2000-11,14826,
2000-12,14693,
2001-01,14951,
2001-02,14763,
2001-03,15319,
2001-04,15352,
2001-05,14975,
2001-06,14274,
2001-07,14685,
2001-08,15788,
2001-09,13052,
2001-10,13949,
2001-11,12822,
2001-12,12074,
2002-01,12489,
2002-02,12101,
2002-03,11771,
2002-04,12152,
2002-05,12237,
2002-06,11659,
2002-07,11669,
2002-08,10740,
2002-09,10110,
2002-10,9858,
2002-11,10355,
2002-12,9717,
2003-01,9585,
2003-02,10023,
2003-03,10703,
2003-04,11308,
2003-05,11256,
2003-06,11585,
2003-07,10972,
2003-08,11371,
2003-09,12021,
2003-10,11381,
2003-11,10944,
2003-12,11316,
2004-01,11488,
2004-02,10811,
2004-03,10296,
2004-04,10544,
2004-05,11078,
2004-06,10064,
2004-07,10377,
2004-08,9382,
2004-09,10060,
2004-10,9795,
2004-11,9534,
2004-12,9014,
2005-01,10131,
2005-02,9944,
2005-03,9768,
2005-04,9932,
2005-05,10900,
2005-06,10987,
2005-07,11500,
2005-08,11670,
2005-09,11478,
2005-10,11591,
2005-11,10332,
2005-12,9960,
2006-01,10485,
2006-02,10727,
2006-03,9873,
2006-04,9817,
2006-05,10061,
2006-06,9856,
2006-07,9246,
2006-08,9019,
2006-09,8509,
2006-10,7764,
2006-11,8093,
2006-12,8782,
2007-01,9137,
2007-02,8653,
2007-03,8515,
2007-04,9101,
2007-05,9151,
2007-06,9931,
2007-07,9960,
2007-08,10381,
2007-09,11597,
2007-10,12385,
2007-11,12498,
2007-12,12058,
2008-01,11511,
2008-02,12039,
2008-03,11188,
2008-04,11658,
2008-05,11952,
2008-06,11652,
2008-07,11786,
2008-08,12981,
2008-09,12333,
2008-10,12795,
2008-11,13143,
2008-12,13245,
2009-01,12220,
2009-02,11894,
2009-03,10042,
2009-04,10814,
2009-05,9979,
2009-06,10017,
2009-07,9074,
2009-08,9021,
2009-09,23616,
2009-10,24180,
2009-11,23015,
2009-12,22231,
2010-01,23017,
2010-02,22806,
2010-03,21958,
2010-04,15580,
2010-05,19683,
2010-06,22343,
2010-07,22560,
2010-08,22817,
2010-09,22355,
2010-10,20497,
2010-11,20913,
2010-12,20731,
2011-01,23253,
2011-02,25171,
2011-03,25958,
2011-04,26428,
2011-05,26322,
2011-06,26884,
2011-07,25851,
2011-08,26904,
2011-09,28744,
2011-10,29419,
2011-11,29495,
2011-12,28758,
2012-01,28292,
2012-02,27917,
2012-03,28717,
2012-04,29290,
2012-05,31228,
2012-06,29642,
2012-07,27656,
2012-08,26969,
2012-09,25887,
2012-10,25354,
2012-11,25797,
2012-12,23927,
2013-01,23840,
2013-02,23698,
2013-03,24357,
2013-04,24580,
2013-05,24269,
2013-06,25444,
2013-07,26559,
2013-08,25530,
2013-09,25657,
2013-10,27398,
2013-11,23026,
2013-12,23927,
2014-01,22875,
2014-02,23500,
2014-03,23180,
2014-04,23302,
2014-05,23806,
2014-06,22603,
2014-07,22139,
2014-08,23405,
2014-09,22630,
2014-10,21421,
2014-11,20708,
