"",BBSF2.M.1.P.00000.GEF01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEF01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Public funds / Mixed funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:55,
2009-09,39,
2009-10,37,
2009-11,35,
2009-12,26,
2010-01,27,
2010-02,74,
2010-03,72,
2010-04,95,
2010-05,79,
2010-06,62,
2010-07,41,
2010-08,44,
2010-09,53,
2010-10,53,
2010-11,54,
2010-12,79,
2011-01,70,
2011-02,92,
2011-03,92,
2011-04,114,
2011-05,152,
2011-06,145,
2011-07,152,
2011-08,106,
2011-09,104,
2011-10,107,
2011-11,110,
2011-12,126,
2012-01,152,
2012-02,158,
2012-03,94,
2012-04,97,
2012-05,95,
2012-06,93,
2012-07,63,
2012-08,63,
2012-09,68,
2012-10,69,
2012-11,60,
2012-12,104,
2013-01,79,
2013-02,81,
2013-03,76,
2013-04,75,
2013-05,68,
2013-06,84,
2013-07,98,
2013-08,103,
2013-09,121,
2013-10,123,
2013-11,123,
2013-12,85,
2014-01,115,
2014-02,119,
2014-03,101,
2014-04,95,
2014-05,52,
2014-06,46,
2014-07,40,
2014-08,17,
2014-09,14,
2014-10,82,
2014-11,87,
