"",BBK01.PQA356,BBK01.PQA356_FLAGS
"",Lending to domestic enterprises / Medium-term / All categories of banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:29,
1968-10,7.691,
1969-01,7.710,
1969-04,7.893,
1969-07,8.040,
1969-10,8.819,
1970-01,9.128,
1970-04,9.729,
1970-07,10.456,
1970-10,11.445,
1971-01,11.834,
1971-04,12.363,
1971-07,13.415,
1971-10,14.548,
1972-01,14.616,
1972-04,15.026,
1972-07,16.094,
1972-10,17.164,
1973-01,17.823,
1973-04,18.473,
1973-07,18.115,
1973-10,18.264,
1974-01,18.221,
1974-04,18.736,
1974-07,19.273,
1974-10,19.660,
1975-01,18.741,
1975-04,18.138,
1975-07,17.903,
1975-10,18.374,
1976-01,17.910,
1976-04,17.866,
1976-07,17.669,
1976-10,17.991,
1977-01,17.452,
1977-04,17.539,
1977-07,17.320,
1977-10,18.019,
1978-01,17.550,
1978-04,17.290,
1978-07,17.689,
1978-10,18.422,
1979-01,18.571,
1979-04,19.242,
1979-07,19.846,
1979-10,20.591,
1980-01,20.072,
1980-04,20.452,
1980-07,20.484,
1980-10,21.614,
1981-01,21.306,
1981-04,21.957,
1981-07,22.787,
1981-10,24.159,
1982-01,23.611,
1982-04,23.779,
1982-07,23.934,
1982-10,24.762,
1983-01,23.190,
1983-04,23.802,
1983-07,24.409,
1983-10,25.752,
1984-01,24.430,
1984-04,24.914,
1984-07,25.275,
1984-10,25.981,
1985-01,24.851,
1985-04,25.161,
1985-07,25.245,
1985-10,26.780,
1986-01,25.790,
1986-04,25.505,
1986-07,25.414,
1986-10,25.593,
1987-01,24.808,
1987-04,24.907,
1987-07,24.690,
1987-10,24.927,
1988-01,24.695,
1988-04,25.066,
1988-07,24.929,
1988-10,24.987,
1989-01,25.214,
1989-04,25.444,
1989-07,26.117,
1989-10,27.957,
1990-01,28.449,
1990-04,29.434,
1990-07,30.688,
1990-10,33.586,
1991-01,35.515,
1991-04,38.505,
1991-07,41.718,
1991-10,53.351,
1992-01,55.806,
1992-04,58.747,
1992-07,66.722,
1992-10,73.494,
1993-01,73.768,
1993-04,73.702,
1993-07,71.177,
1993-10,68.641,
1994-01,67.850,
1994-04,63.870,
1994-07,60.535,
1994-10,56.313,
1995-01,52.470,
1995-04,52.446,
1995-07,48.552,
1995-10,48.195,
1996-01,48.296,
1996-04,47.970,
1996-07,48.288,
1996-10,48.278,
1997-01,47.264,
1997-04,47.562,
1997-07,48.577,
1997-10,49.892,
1998-01,49.367,
1998-04,48.697,
1998-07,49.490,
1998-10,48.780,
1999-01,72.502,
1999-04,71.536,
1999-07,73.377,
1999-10,75.757,
2000-01,77.143,
2000-04,79.989,
2000-07,84.807,
2000-10,86.930,
2001-01,85.439,
2001-04,84.396,
2001-07,86.193,
2001-10,88.879,
2002-01,89.253,
2002-04,89.256,
2002-07,89.712,
2002-10,90.574,
2003-01,89.868,
2003-04,89.988,
2003-07,90.541,
2003-10,90.822,
2004-01,91.439,
2004-04,93.939,
2004-07,94.176,
2004-10,90.378,
2005-01,89.789,
2005-04,87.983,
2005-07,92.696,
2005-10,92.677,
2006-01,93.861,
2006-04,96.720,
2006-07,98.984,
2006-10,96.938,
2007-01,100.674,
2007-04,103.809,
2007-07,108.296,
2007-10,114.173,
2008-01,120.011,
2008-04,121.644,
2008-07,125.698,
2008-10,132.454,
2009-01,133.480,
2009-04,140.270,
2009-07,142.358,
2009-10,146.281,
2010-01,141.420,
2010-04,141.538,
2010-07,139.763,
2010-10,141.022,
2011-01,141.873,
2011-04,137.593,
2011-07,142.515,
2011-10,145.529,
2012-01,144.080,
2012-04,144.741,
2012-07,144.283,
2012-10,144.513,
2013-01,144.636,
2013-04,144.656,
2013-07,140.845,
2013-10,141.398,
2014-01,142.927,
2014-04,144.502,
2014-07,144.617,
2014-10,146.338,
