"",BBFN1.M.DE.N.1.A.O1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.O1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:13,
1995-01,1.308,
1995-02,1.423,
1995-03,1.417,
1995-04,1.435,
1995-05,1.552,
1995-06,1.498,
1995-07,1.580,
1995-08,1.563,
1995-09,1.628,
1995-10,1.628,
1995-11,1.429,
1995-12,1.438,
1996-01,1.385,
1996-02,1.392,
1996-03,1.448,
1996-04,1.529,
1996-05,1.710,
1996-06,1.636,
1996-07,1.534,
1996-08,1.639,
1996-09,1.666,
1996-10,1.680,
1996-11,1.664,
1996-12,1.599,
1997-01,1.599,
1997-02,1.577,
1997-03,1.747,
1997-04,1.749,
1997-05,1.666,
1997-06,1.794,
1997-07,1.780,
1997-08,1.779,
1997-09,1.827,
1997-10,1.763,
1997-11,1.772,
1997-12,1.759,
1998-01,1.762,
1998-02,1.822,
1998-03,1.876,
1998-04,1.916,
1998-05,1.986,
1998-06,1.979,
1998-07,1.946,
1998-08,1.898,
1998-09,1.917,
1998-10,1.923,
1998-11,1.919,
1998-12,1.771,
1999-01,1.818,
1999-02,1.852,
1999-03,1.976,
1999-04,2.069,
1999-05,2.131,
1999-06,2.144,
1999-07,2.219,
1999-08,2.167,
1999-09,2.211,
1999-10,2.287,
1999-11,2.212,
1999-12,1.991,
2000-01,2.026,
2000-02,1.986,
2000-03,2.204,
2000-04,2.319,
2000-05,2.379,
2000-06,2.282,
2000-07,2.303,
2000-08,2.370,
2000-09,2.462,
2000-10,2.490,
2000-11,2.474,
2000-12,2.088,
2001-01,2.042,
2001-02,2.147,
2001-03,2.069,
2001-04,2.133,
2001-05,2.184,
2001-06,1.967,
2001-07,1.934,
2001-08,1.914,
2001-09,1.942,
2001-10,1.976,
2001-11,2.076,
2001-12,2.077,
2002-01,1.993,
2002-02,1.973,
2002-03,1.904,
2002-04,1.898,
2002-05,1.947,
2002-06,2.107,
2002-07,2.111,
2002-08,2.150,
2002-09,2.376,
2002-10,2.413,
2002-11,2.582,
2002-12,2.513,
2003-01,2.465,
2003-02,2.243,
2003-03,2.431,
2003-04,2.438,
2003-05,2.465,
2003-06,2.389,
2003-07,2.380,
2003-08,2.404,
2003-09,2.337,
2003-10,2.528,
2003-11,2.431,
2003-12,2.348,
2004-01,2.298,
2004-02,2.309,
2004-03,2.544,
2004-04,2.675,
2004-05,2.410,
2004-06,2.330,
2004-07,2.495,
2004-08,2.477,
2004-09,2.341,
2004-10,2.421,
2004-11,2.526,
2004-12,2.451,
2005-01,2.184,
2005-02,2.171,
2005-03,2.207,
2005-04,2.383,
2005-05,2.564,
2005-06,2.498,
2005-07,2.520,
2005-08,2.250,
2005-09,2.266,
2005-10,2.227,
2005-11,2.179,
2005-12,2.161,
2006-01,2.292,
2006-02,2.379,
2006-03,2.408,
2006-04,2.267,
2006-05,2.304,
2006-06,3.231,
2006-07,3.273,
2006-08,3.379,
2006-09,3.285,
2006-10,3.461,
2006-11,3.428,
2006-12,3.364,
2007-01,3.296,
2007-02,3.260,
2007-03,3.390,
2007-04,3.279,
2007-05,3.445,
2007-06,3.457,
2007-07,2.494,
2007-08,2.815,
2007-09,3.115,
2007-10,3.229,
2007-11,3.629,
2007-12,3.606,
2008-01,3.571,
2008-02,3.560,
2008-03,3.411,
2008-04,3.549,
2008-05,3.668,
2008-06,3.616,
2008-07,3.542,
2008-08,3.433,
2008-09,3.518,
2008-10,3.335,
2008-11,3.586,
2008-12,4.415,
2009-01,4.401,
2009-02,4.258,
2009-03,4.757,
2009-04,4.471,
2009-05,4.579,
2009-06,4.803,
2009-07,4.707,
2009-08,4.736,
2009-09,4.597,
2009-10,4.837,
2009-11,5.164,
2009-12,5.140,
2010-01,4.918,
2010-02,4.948,
2010-03,4.937,
2010-04,4.813,
2010-05,5.138,
2010-06,4.902,
2010-07,5.350,
2010-08,5.029,
2010-09,5.077,
2010-10,5.318,
2010-11,5.493,
2010-12,5.763,
2011-01,5.843,
2011-02,5.830,
2011-03,5.811,
2011-04,5.822,
2011-05,6.024,
2011-06,6.080,
2011-07,5.919,
2011-08,5.999,
2011-09,5.580,
2011-10,5.351,
2011-11,5.140,
2011-12,5.130,
2012-01,4.671,
2012-02,4.640,
2012-03,5.311,
2012-04,5.317,
2012-05,5.208,
2012-06,6.181,
2012-07,6.093,
2012-08,5.715,
2012-09,6.506,
2012-10,6.723,
2012-11,6.878,
2012-12,6.507,
2013-01,6.419,
2013-02,6.271,
2013-03,6.122,
2013-04,5.809,
2013-05,6.111,
2013-06,5.344,
2013-07,5.053,
2013-08,5.596,
2013-09,5.684,
2013-10,5.798,
2013-11,5.502,
2013-12,4.868,
2014-01,4.729,
2014-02,4.679,
2014-03,4.679,
2014-04,4.666,
2014-05,4.822,
2014-06,4.539,
2014-07,4.709,
2014-08,5.088,
2014-09,5.180,
2014-10,5.753,
2014-11,5.259,
2014-12,5.082,
