"",BBK01.OEBJ01O,BBK01.OEBJ01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:05,
2002-01,-6.237,
2002-04,-6.164,
2002-07,-5.991,
2002-10,-6.550,
2003-01,-7.614,
2003-04,-6.907,
2003-07,-7.080,
2003-10,-7.707,
2004-01,-7.674,
2004-04,-7.859,
2004-07,-8.025,
2004-10,-8.277,
2005-01,2.741,
2005-04,2.957,
2005-07,2.955,
2005-10,3.107,
2006-01,2.822,
2006-04,2.626,
2006-07,2.915,
2006-10,3.228,
2007-01,2.834,
2007-04,3.038,
2007-07,3.301,
2007-10,3.842,
2008-01,3.546,
2008-04,3.470,
2008-07,3.945,
2008-10,3.904,
2009-01,4.184,
2009-04,4.192,
2009-07,4.592,
2009-10,5.098,
2010-01,4.457,
2010-04,4.542,
2010-07,4.391,
2010-10,4.298,
2011-01,4.073,
2011-04,4.353,
2011-07,4.590,
2011-10,4.303,
2012-01,4.099,
2012-04,4.260,
2012-07,4.971,
2012-10,6.015,
2013-01,5.441,
2013-04,5.149,
2013-07,5.085,
2013-10,5.176,
2014-01,4.693,
2014-04,4.612,
2014-07,5.213,
