"",BBK01.OEBB23N,BBK01.OEBB23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:45,
2002-01,0.503,
2002-04,0.462,
2002-07,0.299,
2002-10,0.237,
2003-01,0.175,
2003-04,0.153,
2003-07,0.103,
2003-10,0.080,
2004-01,0.376,
2004-04,0.408,
2004-07,0.416,
2004-10,0.269,
2005-01,0.427,
2005-04,0.375,
2005-07,0.381,
2005-10,0.382,
2006-01,0.383,
2006-04,0.377,
2006-07,0.375,
2006-10,0.372,
2007-01,0.405,
2007-04,0.399,
2007-07,0.497,
2007-10,0.863,
2008-01,1.370,
2008-04,1.077,
2008-07,1.045,
2008-10,1.117,
2009-01,1.028,
2009-04,1.167,
2009-07,1.502,
2009-10,1.147,
2010-01,0.661,
2010-04,0.778,
2010-07,0.861,
2010-10,0.922,
2011-01,0.941,
2011-04,0.950,
2011-07,0.952,
2011-10,1.093,
2012-01,0.986,
2012-04,1.025,
2012-07,1.008,
2012-10,0.955,
2013-01,0.961,
2013-04,1.273,
2013-07,1.380,
2013-10,1.432,
2014-01,1.552,
2014-04,1.591,
2014-07,1.679,
