"",BBFN1.M.DE.N.1.L.RU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.RU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Russian Federation,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:15,
1995-01,0.067,
1995-02,0.064,
1995-03,0.053,
1995-04,0.057,
1995-05,0.066,
1995-06,0.081,
1995-07,0.085,
1995-08,0.084,
1995-09,0.089,
1995-10,0.088,
1995-11,0.090,
1995-12,0.085,
1996-01,0.088,
1996-02,0.088,
1996-03,0.086,
1996-04,0.087,
1996-05,0.088,
1996-06,0.084,
1996-07,0.084,
1996-08,0.089,
1996-09,0.088,
1996-10,0.085,
1996-11,0.090,
1996-12,0.088,
1997-01,0.098,
1997-02,0.095,
1997-03,0.083,
1997-04,0.082,
1997-05,0.083,
1997-06,0.078,
1997-07,0.080,
1997-08,0.082,
1997-09,0.085,
1997-10,0.080,
1997-11,0.080,
1997-12,0.092,
1998-01,0.067,
1998-02,0.076,
1998-03,0.065,
1998-04,0.076,
1998-05,0.076,
1998-06,0.073,
1998-07,0.069,
1998-08,0.052,
1998-09,0.051,
1998-10,0.066,
1998-11,0.064,
1998-12,0.063,
1999-01,0.066,
1999-02,0.062,
1999-03,0.063,
1999-04,0.058,
1999-05,0.062,
1999-06,0.060,
1999-07,0.048,
1999-08,0.048,
1999-09,0.065,
1999-10,0.086,
1999-11,0.093,
1999-12,0.105,
2000-01,0.088,
2000-02,0.083,
2000-03,0.083,
2000-04,0.101,
2000-05,0.113,
2000-06,0.111,
2000-07,0.114,
2000-08,0.123,
2000-09,0.125,
2000-10,0.127,
2000-11,0.131,
2000-12,0.138,
2001-01,0.057,
2001-02,0.059,
2001-03,0.059,
2001-04,0.078,
2001-05,0.098,
2001-06,0.112,
2001-07,0.127,
2001-08,0.149,
2001-09,0.156,
2001-10,0.170,
2001-11,0.183,
2001-12,0.254,
2002-01,0.087,
2002-02,0.114,
2002-03,0.108,
2002-04,0.139,
2002-05,0.150,
2002-06,0.171,
2002-07,0.183,
2002-08,0.194,
2002-09,0.208,
2002-10,0.199,
2002-11,0.201,
2002-12,0.208,
2003-01,0.077,
2003-02,0.078,
2003-03,0.085,
2003-04,0.088,
2003-05,0.093,
2003-06,0.110,
2003-07,0.110,
2003-08,0.111,
2003-09,0.124,
2003-10,0.133,
2003-11,0.146,
2003-12,0.158,
2004-01,0.129,
2004-02,0.113,
2004-03,0.117,
2004-04,0.110,
2004-05,0.096,
2004-06,0.085,
2004-07,0.099,
2004-08,0.101,
2004-09,0.117,
2004-10,0.111,
2004-11,0.149,
2004-12,0.187,
2005-01,0.160,
2005-02,0.133,
2005-03,0.163,
2005-04,0.162,
2005-05,0.176,
2005-06,0.165,
2005-07,0.126,
2005-08,0.137,
2005-09,0.139,
2005-10,0.442,
2005-11,0.450,
2005-12,0.514,
2006-01,0.511,
2006-02,0.492,
2006-03,0.496,
2006-04,0.512,
2006-05,0.230,
2006-06,0.160,
2006-07,0.169,
2006-08,0.171,
2006-09,0.210,
2006-10,0.225,
2006-11,1.822,
2006-12,1.866,
2007-01,1.774,
2007-02,1.753,
2007-03,1.753,
2007-04,1.711,
2007-05,1.703,
2007-06,1.721,
2007-07,1.736,
2007-08,1.816,
2007-09,1.799,
2007-10,1.844,
2007-11,1.828,
2007-12,1.913,
2008-01,1.654,
2008-02,1.642,
2008-03,1.666,
2008-04,1.697,
2008-05,1.695,
2008-06,1.770,
2008-07,1.878,
2008-08,2.035,
2008-09,2.143,
2008-10,2.321,
2008-11,2.368,
2008-12,2.289,
2009-01,2.102,
2009-02,2.097,
2009-03,2.117,
2009-04,2.084,
2009-05,2.008,
2009-06,2.068,
2009-07,2.070,
2009-08,2.068,
2009-09,2.138,
2009-10,2.297,
2009-11,2.303,
2009-12,0.861,
2010-01,0.588,
2010-02,0.630,
2010-03,0.697,
2010-04,0.729,
2010-05,0.755,
2010-06,0.862,
2010-07,1.037,
2010-08,1.121,
2010-09,1.174,
2010-10,1.249,
2010-11,1.326,
2010-12,1.271,
2011-01,1.640,
2011-02,1.598,
2011-03,1.612,
2011-04,1.307,
2011-05,1.296,
2011-06,1.284,
2011-07,1.274,
2011-08,1.120,
2011-09,1.115,
2011-10,1.101,
2011-11,1.099,
2011-12,1.246,
2012-01,1.314,
2012-02,1.252,
2012-03,1.276,
2012-04,1.190,
2012-05,1.267,
2012-06,1.286,
2012-07,1.318,
2012-08,1.258,
2012-09,1.344,
2012-10,1.380,
2012-11,1.376,
2012-12,1.387,
2013-01,1.077,
2013-02,1.121,
2013-03,1.108,
2013-04,1.006,
2013-05,0.921,
2013-06,1.099,
2013-07,1.257,
2013-08,1.129,
2013-09,1.136,
2013-10,1.152,
2013-11,1.162,
2013-12,1.124,
2014-01,1.110,
2014-02,1.229,
2014-03,1.202,
2014-04,0.977,
2014-05,0.932,
2014-06,0.922,
2014-07,0.958,
2014-08,0.934,
2014-09,1.008,
2014-10,1.039,
2014-11,1.002,
2014-12,1.285,
