"",BBK01.OEAE18K,BBK01.OEAE18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:56,
2002-01,1.201,
2002-04,1.216,
2002-07,0.912,
2002-10,0.933,
2003-01,0.843,
2003-04,0.891,
2003-07,0.846,
2003-10,1.154,
2004-01,0.754,
2004-04,0.984,
2004-07,0.597,
2004-10,0.729,
2005-01,0.568,
2005-04,0.413,
2005-07,0.403,
2005-10,0.361,
2006-01,0.405,
2006-04,0.414,
2006-07,0.618,
2006-10,0.462,
2007-01,0.431,
2007-04,0.386,
2007-07,0.683,
2007-10,0.477,
2008-01,0.565,
2008-04,0.536,
2008-07,0.530,
2008-10,0.352,
2009-01,0.740,
2009-04,0.401,
2009-07,0.252,
2009-10,0.275,
2010-01,0.262,
2010-04,0.255,
2010-07,0.222,
2010-10,0.273,
2011-01,0.399,
2011-04,0.283,
2011-07,0.273,
2011-10,0.276,
2012-01,0.570,
2012-04,0.316,
2012-07,0.702,
2012-10,0.707,
2013-01,0.591,
2013-04,0.606,
2013-07,0.662,
2013-10,0.663,
2014-01,0.718,
2014-04,0.956,
2014-07,0.714,
