"",BBK01.OEAF10G,BBK01.OEAF10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:44,
2002-01,0.430,
2002-04,0.447,
2002-07,0.453,
2002-10,0.449,
2003-01,0.445,
2003-04,0.430,
2003-07,0.450,
2003-10,0.455,
2004-01,0.450,
2004-04,0.463,
2004-07,0.437,
2004-10,0.436,
2005-01,0.329,
2005-04,0.322,
2005-07,0.335,
2005-10,0.327,
2006-01,0.322,
2006-04,0.319,
2006-07,0.313,
2006-10,0.314,
2007-01,0.307,
2007-04,0.280,
2007-07,0.286,
2007-10,0.279,
2008-01,0.283,
2008-04,0.280,
2008-07,0.287,
2008-10,0.287,
2009-01,0.290,
2009-04,0.292,
2009-07,0.294,
2009-10,0.296,
2010-01,0.298,
2010-04,0.285,
2010-07,0.296,
2010-10,0.302,
2011-01,0.303,
2011-04,0.299,
2011-07,0.295,
2011-10,0.291,
2012-01,0.291,
2012-04,0.291,
2012-07,0.294,
2012-10,0.292,
2013-01,0.292,
2013-04,0.290,
2013-07,0.292,
2013-10,0.294,
2014-01,0.293,
2014-04,0.286,
2014-07,0.279,
