"",BBK01.OELJ08H,BBK01.OELJ08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:03,
2002-01,0.263,
2002-04,0.271,
2002-07,0.298,
2002-10,0.294,
2003-01,0.317,
2003-04,0.336,
2003-07,0.362,
2003-10,0.360,
2004-01,0.401,
2004-04,0.428,
2004-07,0.442,
2004-10,0.436,
2005-01,0.462,
2005-04,0.484,
2005-07,0.496,
2005-10,0.496,
2006-01,0.511,
2006-04,0.530,
2006-07,0.539,
2006-10,0.551,
2007-01,0.558,
2007-04,0.552,
2007-07,0.557,
2007-10,0.552,
2008-01,0.556,
2008-04,0.565,
2008-07,0.578,
2008-10,0.580,
2009-01,0.602,
2009-04,0.622,
2009-07,0.661,
2009-10,0.673,
2010-01,0.719,
2010-04,0.751,
2010-07,0.790,
2010-10,0.763,
2011-01,0.790,
2011-04,0.802,
2011-07,0.805,
2011-10,0.816,
2012-01,0.840,
2012-04,0.854,
2012-07,0.887,
2012-10,0.905,
2013-01,0.940,
2013-04,0.954,
2013-07,0.985,
2013-10,1.006,
2014-01,1.027,
2014-04,1.049,
2014-07,1.065,
