"",BBK01.OEAH62G,BBK01.OEAH62G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:28,
2002-01,2.678,
2002-04,2.646,
2002-07,2.682,
2002-10,2.622,
2003-01,2.589,
2003-04,2.522,
2003-07,2.421,
2003-10,2.465,
2004-01,2.404,
2004-04,2.223,
2004-07,2.085,
2004-10,2.152,
2005-01,1.122,
2005-04,1.069,
2005-07,1.017,
2005-10,1.098,
2006-01,1.105,
2006-04,1.157,
2006-07,1.281,
2006-10,1.548,
2007-01,1.680,
2007-04,1.837,
2007-07,2.029,
2007-10,2.833,
2008-01,2.892,
2008-04,2.906,
2008-07,3.064,
2008-10,3.189,
2009-01,3.036,
2009-04,3.856,
2009-07,4.019,
2009-10,4.323,
2010-01,4.276,
2010-04,3.989,
2010-07,4.046,
2010-10,4.340,
2011-01,4.407,
2011-04,4.262,
2011-07,4.698,
2011-10,5.048,
2012-01,4.867,
2012-04,4.881,
2012-07,4.321,
2012-10,5.031,
2013-01,5.543,
2013-04,4.725,
2013-07,3.925,
2013-10,3.763,
2014-01,3.632,
2014-04,3.551,
2014-07,3.503,
