"",BBK01.CELE13,BBK01.CELE13_FLAGS
"",short-term loans                                              debtor: Non-financial corporations  creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:15,
1999-01,-4.9,
1999-04,-0.4,
1999-07,-10.3,
1999-10,12.2,
2000-01,-0.3,
2000-04,6.4,
2000-07,-18.2,
2000-10,29.3,
2001-01,2.3,
2001-04,0.7,
2001-07,-6.9,
2001-10,7.0,
2002-01,-18.2,
2002-04,5.6,
2002-07,-4.7,
2002-10,-1.8,
2003-01,-10.1,
2003-04,-6.7,
2003-07,-12.4,
2003-10,5.7,
2004-01,-11.2,
2004-04,-7.9,
2004-07,-9.5,
2004-10,2.9,
2005-01,-2.6,
2005-04,-2.2,
2005-07,-4.3,
2005-10,-2.9,
2006-01,-5.1,
2006-04,3.4,
2006-07,-2.8,
2006-10,0.0,
2007-01,-5.5,
2007-04,1.5,
2007-07,3.8,
2007-10,9.2,
2008-01,2.3,
2008-04,6.7,
2008-07,-1.3,
2008-10,1.5,
2009-01,3.3,
2009-04,-6.3,
2009-07,-14.7,
2009-10,-15.1,
2010-01,0.8,
2010-04,-0.6,
2010-07,-11.3,
2010-10,1.8,
2011-01,-7.3,
2011-04,-6.7,
2011-07,-0.9,
2011-10,7.1,
2012-01,-2.0,
2012-04,-2.9,
2012-07,-13.0,
2012-10,-3.4,
2013-01,8.8,
2013-04,5.7,
2013-07,4.8,
2013-10,-7.8,
2014-01,6.5,
2014-04,4.8,
2014-07,-7.1,
