"",BBK01.OEBJ01G,BBK01.OEBJ01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:02,
2002-01,22.617,
2002-04,23.092,
2002-07,23.436,
2002-10,25.861,
2003-01,24.449,
2003-04,23.575,
2003-07,23.638,
2003-10,26.383,
2004-01,24.943,
2004-04,24.618,
2004-07,25.940,
2004-10,27.754,
2005-01,18.799,
2005-04,19.236,
2005-07,11.818,
2005-10,12.553,
2006-01,11.812,
2006-04,11.767,
2006-07,12.627,
2006-10,14.075,
2007-01,14.552,
2007-04,15.158,
2007-07,16.163,
2007-10,19.162,
2008-01,16.709,
2008-04,17.044,
2008-07,17.665,
2008-10,19.162,
2009-01,18.066,
2009-04,18.537,
2009-07,18.850,
2009-10,20.109,
2010-01,19.385,
2010-04,19.030,
2010-07,19.455,
2010-10,22.121,
2011-01,20.205,
2011-04,20.463,
2011-07,21.994,
2011-10,24.811,
2012-01,24.224,
2012-04,24.006,
2012-07,25.012,
2012-10,25.982,
2013-01,24.091,
2013-04,23.855,
2013-07,25.287,
2013-10,26.705,
2014-01,25.500,
2014-04,26.175,
2014-07,26.944,
