"",BBK01.OECB12U,BBK01.OECB12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:15,
2002-01,0.872,
2002-04,0.840,
2002-07,0.797,
2002-10,0.780,
2003-01,0.708,
2003-04,0.659,
2003-07,0.605,
2003-10,0.612,
2004-01,0.606,
2004-04,0.600,
2004-07,0.609,
2004-10,0.535,
2005-01,0.513,
2005-04,0.435,
2005-07,0.427,
2005-10,0.362,
2006-01,0.350,
2006-04,0.356,
2006-07,0.363,
2006-10,0.357,
2007-01,0.349,
2007-04,0.340,
2007-07,0.335,
2007-10,0.368,
2008-01,0.377,
2008-04,0.391,
2008-07,0.394,
2008-10,0.416,
2009-01,0.430,
2009-04,0.472,
2009-07,0.491,
2009-10,0.550,
2010-01,0.562,
2010-04,0.562,
2010-07,0.569,
2010-10,0.526,
2011-01,0.545,
2011-04,0.562,
2011-07,0.565,
2011-10,0.532,
2012-01,0.547,
2012-04,0.542,
2012-07,0.527,
2012-10,0.539,
2013-01,0.547,
2013-04,0.538,
2013-07,0.548,
2013-10,0.559,
2014-01,0.548,
2014-04,0.553,
2014-07,0.570,
