"",BBK01.OEXO01O,BBK01.OEXO01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:34,
2002-01,-24.369,
2002-04,-24.949,
2002-07,-25.212,
2002-10,-27.404,
2003-01,-29.288,
2003-04,-30.166,
2003-07,-30.626,
2003-10,-32.250,
2004-01,-33.790,
2004-04,-34.250,
2004-07,-34.589,
2004-10,-34.799,
2005-01,0.723,
2005-04,0.750,
2005-07,0.759,
2005-10,0.726,
2006-01,0.748,
2006-04,0.667,
2006-07,0.679,
2006-10,0.667,
2007-01,0.700,
2007-04,0.830,
2007-07,0.883,
2007-10,0.940,
2008-01,1.049,
2008-04,1.095,
2008-07,1.091,
2008-10,1.105,
2009-01,1.389,
2009-04,1.354,
2009-07,1.339,
2009-10,1.391,
2010-01,1.278,
2010-04,1.150,
2010-07,1.110,
2010-10,1.086,
2011-01,1.270,
2011-04,1.379,
2011-07,1.388,
2011-10,1.390,
2012-01,1.344,
2012-04,1.251,
2012-07,1.258,
2012-10,1.227,
2013-01,1.151,
2013-04,1.058,
2013-07,0.981,
2013-10,0.953,
2014-01,0.946,
2014-04,0.927,
2014-07,0.904,
