"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:08,
1991-01,15858.974,
1991-04,1335.986,
1991-07,-962.073,
1991-10,4405.075,
1992-01,5968.558,
1992-04,4983.264,
1992-07,21932.968,
1992-10,2525.899,
1993-01,9520.390,
1993-04,5579.875,
1993-07,6244.280,
1993-10,14844.282,
1994-01,15647.294,
1994-04,8571.411,
1994-07,13134.924,
1994-10,27371.173,
1995-01,24992.802,
1995-04,21286.145,
1995-07,15931.126,
1995-10,11177.146,
1996-01,9039.984,
1996-04,12033.188,
1996-07,-5951.704,
1996-10,22014.668,
1997-01,44725.927,
1997-04,36106.445,
1997-07,-3224.754,
1997-10,32563.150,
1998-01,50166.602,
1998-04,37876.261,
1998-07,7912.184,
1998-10,61236.120,
1999-01,46740.076,
1999-04,18884.118,
1999-07,19881.537,
1999-10,26097.925,
2000-01,94387.169,
2000-04,2126.951,
2000-07,7027.505,
2000-10,30966.313,
2001-01,136606.528,
2001-04,-12609.876,
2001-07,-1505.122,
2001-10,-37624.939,
2002-01,20569.145,
2002-04,7095.371,
2002-07,33087.461,
2002-10,-22289.853,
2003-01,44597.626,
2003-04,579.617,
2003-07,-4509.380,
2003-10,-20078.839,
2004-01,63701.597,
2004-04,-53969.019,
2004-07,26237.048,
2004-10,-286.133,
2005-01,78398.092,
2005-04,-11093.941,
2005-07,18663.643,
2005-10,-20460.026,
2006-01,73771.960,
2006-04,10583.255,
2006-07,20864.256,
2006-10,-9487.621,
2007-01,53974.181,
2007-04,42504.828,
2007-07,68626.975,
2007-10,-43625.251,
2008-01,140385.077,
2008-04,-17992.963,
2008-07,30703.715,
2008-10,-141481.102,
2009-01,-36961.357,
2009-04,-14643.710,
2009-07,-43830.362,
2009-10,-39614.707,
2010-01,40606.320,
2010-04,88750.883,
2010-07,17192.925,
2010-10,37498.864,
2011-01,-46233.275,
2011-04,-26999.555,
2011-07,121636.963,
2011-10,-59563.918,
2012-01,208932.587,
2012-04,36790.306,
2012-07,-28086.220,
2012-10,-126702.884,
2013-01,-23695.413,
2013-04,-7107.189,
2013-07,-78434.863,
2013-10,-112300.045,
2014-01,14671.957,Provisional value
2014-04,19392.389,Provisional value
2014-07,-1864.687,Provisional value
2014-10,-42134.205,Provisional value
