"",BBDA1.M.DE.N.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.W1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Rest of the World / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:37,
1990-07,28912618,
1990-08,26543003,
1990-09,26932695,
1990-10,31957046,
1990-11,29843399,
1990-12,26716016,
1991-01,29164092,
1991-02,26867503,
1991-03,28729474,
1991-04,27623603,
1991-05,27891708,
1991-06,27399007,
1991-07,30037503,
1991-08,26417109,
1991-09,27173714,
1991-10,30967583,
1991-11,29730491,
1991-12,28423233,
1992-01,27903815,
1992-02,28135838,
1992-03,32220007,
1992-04,30928484,
1992-05,26667688,
1992-06,26361705,
1992-07,30595703,
1992-08,24915303,
1992-09,28491171,
1992-10,31328247,
1992-11,27419300,
1992-12,28213201,
1993-01,23394160,
1993-02,27432343,
1993-03,28736138,
1993-04,26732385,
1993-05,25836601,
1993-06,27599024,
1993-07,25954198,
1993-08,24342606,
1993-09,26931789,
1993-10,28460040,
1993-11,28244275,
1993-12,29583348,
1994-01,25590670,
1994-02,26889863,
1994-03,31407638,
1994-04,28566900,
1994-05,30278705,
1994-06,31817694,
1994-07,27813256,
1994-08,28500943,
1994-09,29978577,
1994-10,30530772,
1994-11,31245558,
1994-12,32566225,
1995-01,29892376,
1995-02,30483171,
1995-03,34087638,
1995-04,30210741,
1995-05,32850599,
1995-06,33479184,
1995-07,30258002,
1995-08,29084145,
1995-09,32640873,
1995-10,33581625,
1995-11,34238344,
1995-12,32425454,
1996-01,31876401,
1996-02,32310873,
1996-03,33510939,
1996-04,33516812,
1996-05,33151353,
1996-06,32410092,
1996-07,35599203,
1996-08,30033246,
1996-09,32954489,
1996-10,38191631,
1996-11,36064032,
1996-12,33757836,
1997-01,33054263,
1997-02,34801568,
1997-03,36120657,
1997-04,37693510,
1997-05,36199691,
1997-06,39686276,
1997-07,40343676,
1997-08,33823189,
1997-09,40456070,
1997-10,41878479,
1997-11,40550641,
1997-12,39733954,
1998-01,37768168,
1998-02,39463392,
1998-03,42783912,
1998-04,42894669,
1998-05,39684510,
1998-06,42379043,
1998-07,43801372,
1998-08,35620616,
1998-09,39579122,
1998-10,43137633,
1998-11,42345749,
1998-12,38912393,
1999-01,35862738,
1999-02,39280578,
1999-03,43745279,
1999-04,41793994,
1999-05,39926088,
1999-06,44803278,
1999-07,44465736,
1999-08,38753778,
1999-09,42954659,
1999-10,44677743,
1999-11,49058884,
1999-12,44684903,
2000-01,42043616,
2000-02,46442548,
2000-03,52164877,
2000-04,45261531,
2000-05,52191996,
2000-06,49606438,
2000-07,49796582,
2000-08,47221698,
2000-09,48989341,
2000-10,56818479,
2000-11,56856582,
2000-12,50046052,
2001-01,51877852,
2001-02,52085055,
2001-03,56125304,
2001-04,52860749,
2001-05,54662637,
2001-06,53687368,
2001-07,55365514,
2001-08,51630305,
2001-09,49637944,
2001-10,57246213,
2001-11,54871683,
2001-12,48217736,
2002-01,50334641,
2002-02,51822128,
2002-03,54559719,
2002-04,56028758,
2002-05,50475548,
2002-06,56663912,
2002-07,55853900,
2002-08,51749663,
2002-09,55189506,
2002-10,58902236,
2002-11,58892569,
2002-12,50847094,
2003-01,53557932,
2003-02,53977434,
2003-03,55977248,
2003-04,53880253,
2003-05,54485772,
2003-06,54276400,
2003-07,57977217,
2003-08,49874386,
2003-09,58468151,
2003-10,58413683,
2003-11,58859825,
2003-12,54706321,
2004-01,55478607,
2004-02,56527652,
2004-03,64802594,
2004-04,61595305,
2004-05,60507437,
2004-06,62674998,
2004-07,62198417,
2004-08,55946702,
2004-09,61569567,
2004-10,64053403,
2004-11,66473331,
2004-12,59715770,
2005-01,60551969,
2005-02,59759297,
2005-03,65222286,
2005-04,64536926,
2005-05,63595018,
2005-06,68718941,
2005-07,64507967,
2005-08,63263165,
2005-09,69401109,
2005-10,68591693,
2005-11,71519115,
2005-12,66598440,
2006-01,68267925,
2006-02,69973322,
2006-03,76666341,
2006-04,69574021,
2006-05,72298372,
2006-06,73131480,
2006-07,72728738,
2006-08,69086138,
2006-09,79173820,
2006-10,83664717,
2006-11,85060753,
2006-12,73416313,
2007-01,77076900,
2007-02,77301679,
2007-03,83508920,
2007-04,78449832,
2007-05,78567279,
2007-06,81494536,
2007-07,81090888,
2007-08,77401949,
2007-09,81478828,
2007-10,88483427,
2007-11,87384073,
2007-12,72997248,
2008-01,83324160,
2008-02,83516171,
2008-03,82754980,
2008-04,88750606,
2008-05,79732900,
2008-06,87364212,
2008-07,86066979,
2008-08,74859412,
2008-09,86270138,
2008-10,88702243,
2008-11,76085058,
2008-12,66712939,
2009-01,63558787,
2009-02,63788746,
2009-03,70163986,
2009-04,64401285,
2009-05,60652667,
2009-06,66898844,
2009-07,70577420,
2009-08,60088187,
2009-09,70913592,
2009-10,72460259,
2009-11,72294832,
2009-12,67513241,
2010-01,63357946,
2010-02,69985466,
2010-03,85578912,
2010-04,75184617,
2010-05,76191415,
2010-06,85310501,
2010-07,81350340,
2010-08,74393504,
2010-09,85971774,
2010-10,86001449,
2010-11,87624475,
2010-12,81009071,
2011-01,79314862,
2011-02,84536900,
2011-03,98671295,
2011-04,84509940,
2011-05,92352026,
2011-06,88084241,
2011-07,85571816,
2011-08,85255523,
2011-09,94964037,
2011-10,89054958,
2011-11,94104402,
2011-12,84805289,
