"",BBSF2.M.1.S.I0122.REN01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.REN01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:59,
1993-04,279,
1993-05,79,
1993-06,125,
1993-07,177,
1993-08,242,
1993-09,180,
1993-10,90,
1993-11,311,
1993-12,66,
1994-01,184,
1994-02,210,
1994-03,349,
1994-04,353,
1994-05,388,
1994-06,219,
1994-07,513,
1994-08,397,
1994-09,169,
1994-10,51,
1994-11,279,
1994-12,460,
1995-01,268,
1995-02,191,
1995-03,862,
1995-04,63,
1995-05,55,
1995-06,54,
1995-07,945,
1995-08,194,
1995-09,364,
1995-10,48,
1995-11,-39,
1995-12,576,
1996-01,525,
1996-02,248,
1996-03,433,
1996-04,228,
1996-05,358,
1996-06,317,
1996-07,450,
1996-08,92,
1996-09,-86,
1996-10,673,
1996-11,54,
1996-12,758,
1997-01,561,
1997-02,614,
1997-03,800,
1997-04,834,
1997-05,241,
1997-06,225,
1997-07,176,
1997-08,364,
1997-09,728,
1997-10,159,
1997-11,17,
1997-12,1315,
1998-01,245,
1998-02,632,
1998-03,523,
1998-04,454,
1998-05,447,
1998-06,236,
1998-07,530,
1998-08,415,
1998-09,427,
1998-10,749,
1998-11,-66,
1998-12,1143,
1999-01,376,
1999-02,805,
1999-03,-671,
1999-04,1513,
1999-05,843,
1999-06,-45,
1999-07,-130,
1999-08,493,
1999-09,-28,
1999-10,205,
1999-11,1266,
1999-12,4305,
2000-01,370,
2000-02,60,
2000-03,-6,
2000-04,35,
2000-05,504,
2000-06,128,
2000-07,93,
2000-08,512,
2000-09,20,
2000-10,244,
2000-11,242,
2000-12,346,
2001-01,538,
2001-02,237,
2001-03,346,
2001-04,665,
2001-05,-1348,
2001-06,456,
2001-07,40,
2001-08,169,
2001-09,279,
2001-10,157,
2001-11,193,
2001-12,3063,
2002-01,-146,
2002-02,339,
2002-03,-400,
2002-04,685,
2002-05,2076,
2002-06,-961,
2002-07,433,
2002-08,166,
2002-09,911,
2002-10,388,
2002-11,171,
2002-12,1138,
2003-01,45,
2003-02,1060,
2003-03,92,
2003-04,172,
2003-05,630,
2003-06,798,
2003-07,300,
2003-08,393,
2003-09,61,
2003-10,-3722,
2003-11,-623,
2003-12,-3046,
2004-01,-192,
2004-02,-412,
2004-03,-95,
2004-04,148,
2004-05,-222,
2004-06,-259,
2004-07,-197,
2004-08,-52,
2004-09,-780,
2004-10,-407,
2004-11,22,
2004-12,644,
2005-01,137,
2005-02,197,
2005-03,-291,
2005-04,170,
2005-05,-149,
2005-06,-149,
2005-07,523,
2005-08,371,
2005-09,322,
2005-10,-475,
2005-11,-32,
2005-12,858,
2006-01,-1035,
2006-02,-580,
2006-03,-8,
2006-04,594,
2006-05,136,
2006-06,122,
2006-07,-60,
2006-08,125,
2006-09,279,
2006-10,-393,
2006-11,675,
2006-12,-944,
2007-01,190,
2007-02,98,
2007-03,-44,
2007-04,-126,
2007-05,-1736,
2007-06,190,
2007-07,386,
2007-08,-611,
2007-09,962,
2007-10,-998,
2007-11,-179,
2007-12,-1588,
2008-01,49,
2008-02,-111,
2008-03,337,
2008-04,-217,
2008-05,-31,
2008-06,-909,
2008-07,-426,
2008-08,20,
2008-09,-291,
2008-10,-499,
2008-11,78,
2008-12,13,
2009-01,-19,
2009-02,-394,
2009-03,-405,
2009-04,371,
2009-05,98,
2009-06,-458,
2009-07,1541,
2009-08,499,
2009-09,100,
2009-10,-103,
2009-11,82,
2009-12,-305,
2010-01,119,
2010-02,657,
2010-03,111,
2010-04,-17,
2010-05,-91,
2010-06,-99,
2010-07,-426,
2010-08,146,
2010-09,-94,
2010-10,195,
2010-11,94,
2010-12,15,
2011-01,-200,
2011-02,-199,
2011-03,-410,
2011-04,-366,
2011-05,-229,
2011-06,-45,
2011-07,30,
2011-08,-87,
2011-09,-510,
2011-10,-71,
2011-11,129,
2011-12,119,
2012-01,64,
2012-02,32,
2012-03,-19,
2012-04,31,
2012-05,-360,
2012-06,167,
2012-07,-143,
2012-08,253,
2012-09,101,
2012-10,-440,
2012-11,-266,
2012-12,311,
2013-01,393,
2013-02,-1857,
2013-03,437,
2013-04,245,
2013-05,90,
2013-06,286,
2013-07,162,
2013-08,16,
2013-09,-288,
2013-10,93,
2013-11,-375,
2013-12,-49,
2014-01,256,
2014-02,126,
2014-03,-75,
2014-04,-214,
2014-05,-334,
2014-06,-72,
2014-07,37,
2014-08,-2,
2014-09,-428,
2014-10,-10,
2014-11,189,
