"",BBDE1.Q.DE.Y.LCB1.N2F000000.A.L.I08.A,BBDE1.Q.DE.Y.LCB1.N2F000000.A.L.I08.A_FLAGS
"",Index of gross wages and salaries / Germany / Section F - Construction / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:12,
1996-01,81.4,
1996-04,81.3,
1996-07,82.4,
1996-10,87.4,
1997-01,83.8,
1997-04,80.2,
1997-07,82.5,
1997-10,84.3,
1998-01,81.4,
1998-04,83.2,
1998-07,83.4,
1998-10,82.9,
1999-01,83.7,
1999-04,84.2,
1999-07,84.5,
1999-10,84.1,
2000-01,84.9,
2000-04,87.2,
2000-07,88.1,
2000-10,88.6,
2001-01,87.4,
2001-04,89.6,
2001-07,89.9,
2001-10,90.2,
2002-01,91.2,
2002-04,91.1,
2002-07,91.7,
2002-10,92.5,
2003-01,93.5,
2003-04,94.5,
2003-07,92.7,
2003-10,93.0,
2004-01,94.0,
2004-04,93.9,
2004-07,93.9,
2004-10,90.7,
2005-01,95.6,
2005-04,94.0,
2005-07,95.1,
2005-10,93.4,
2006-01,95.4,
2006-04,93.8,
2006-07,93.0,
2006-10,94.7,
2007-01,94.2,
2007-04,95.5,
2007-07,97.5,
2007-10,98.8,
2008-01,99.3,
2008-04,97.4,
2008-07,100.1,
2008-10,103.2,
2009-01,103.9,
2009-04,103.5,
2009-07,103.0,
2009-10,103.7,
2010-01,104.9,
2010-04,103.9,
2010-07,103.9,
2010-10,104.5,
2011-01,104.7,
2011-04,106.8,
2011-07,107.3,
2011-10,108.8,
2012-01,108.5,
2012-04,110.8,
2012-07,111.5,
2012-10,112.3,
2013-01,111.6,
2013-04,110.4,
2013-07,110.4,
2013-10,112.6,
2014-01,112.4,
2014-04,111.3,
2014-07,111.7,
