"",BBK01.OEAD31O,BBK01.OEAD31O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:51,
2002-01,3.847,
2002-04,3.970,
2002-07,3.857,
2002-10,3.811,
2003-01,3.690,
2003-04,3.570,
2003-07,3.372,
2003-10,3.365,
2004-01,3.302,
2004-04,3.267,
2004-07,3.201,
2004-10,3.072,
2005-01,3.054,
2005-04,3.037,
2005-07,3.014,
2005-10,2.987,
2006-01,2.956,
2006-04,2.920,
2006-07,2.903,
2006-10,2.929,
2007-01,2.946,
2007-04,3.105,
2007-07,3.005,
2007-10,3.077,
2008-01,3.085,
2008-04,3.130,
2008-07,2.969,
2008-10,3.125,
2009-01,3.203,
2009-04,3.012,
2009-07,2.970,
2009-10,3.279,
2010-01,2.856,
2010-04,3.151,
2010-07,3.159,
2010-10,3.118,
2011-01,3.038,
2011-04,3.042,
2011-07,2.981,
2011-10,2.985,
2012-01,2.949,
2012-04,2.943,
2012-07,2.874,
2012-10,2.846,
2013-01,2.831,
2013-04,2.749,
2013-07,2.815,
2013-10,2.902,
2014-01,2.981,
2014-04,2.994,
2014-07,2.999,
