"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.IE.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.IE.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Ireland / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:06,
2009-09,2930,
2009-10,3529,
2009-11,3558,
2009-12,3862,
2010-01,4362,
2010-02,4631,
2010-03,5019,
2010-04,4513,
2010-05,4388,
2010-06,4064,
2010-07,4387,
2010-08,4286,
2010-09,3991,
2010-10,3844,
2010-11,3109,
2010-12,3018,
2011-01,2935,
2011-02,2814,
2011-03,2645,
2011-04,2396,
2011-05,2253,
2011-06,2087,
2011-07,1962,
2011-08,2065,
2011-09,2224,
2011-10,2145,
2011-11,1927,
2011-12,2094,
2012-01,2198,
2012-02,2085,
2012-03,1560,
2012-04,1532,
2012-05,1306,
2012-06,1412,
2012-07,1447,
2012-08,1497,
2012-09,1527,
2012-10,1450,
2012-11,1479,
2012-12,1523,
2013-01,1600,
2013-02,1649,
2013-03,1911,
2013-04,1959,
2013-05,1961,
2013-06,1951,
2013-07,1944,
2013-08,1907,
2013-09,1914,
2013-10,1838,
2013-11,1837,
2013-12,1844,
2014-01,1913,
2014-02,2017,
2014-03,2080,
2014-04,2122,
2014-05,2054,
2014-06,2055,
2014-07,2009,
2014-08,2104,
2014-09,2219,
2014-10,2374,
2014-11,2783,
