"",BBNZ1.Q.DE.N.I.0111.A,BBNZ1.Q.DE.N.I.0111.A_FLAGS
"",Germany / National accounts / Use of GDP / Imports of goods and services / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:51,
1991-01,97.43,
1991-04,98.03,
1991-07,98.17,
1991-10,98.01,
1992-01,96.24,
1992-04,96.65,
1992-07,95.41,
1992-10,94.69,
1993-01,94.93,
1993-04,94.17,
1993-07,93.85,
1993-10,93.43,
1994-01,94.42,
1994-04,93.86,
1994-07,93.54,
1994-10,93.92,
1995-01,95.33,
1995-04,93.44,
1995-07,92.92,
1995-10,92.85,
1996-01,93.74,
1996-04,93.91,
1996-07,93.02,
1996-10,93.84,
1997-01,95.74,
1997-04,95.82,
1997-07,96.46,
1997-10,96.18,
1998-01,95.93,
1998-04,94.75,
1998-07,93.04,
1998-10,90.70,
1999-01,90.53,
1999-04,91.50,
1999-07,92.42,
1999-10,93.82,
2000-01,96.45,
2000-04,97.89,
2000-07,99.41,
2000-10,101.27,
2001-01,99.82,
2001-04,100.26,
2001-07,99.91,
2001-10,97.81,
2002-01,97.36,
2002-04,97.85,
2002-07,96.35,
2002-10,95.99,
2003-01,96.07,
2003-04,94.89,
2003-07,93.97,
2003-10,93.02,
2004-01,92.80,
2004-04,94.09,
2004-07,94.63,
2004-10,94.67,
2005-01,95.58,
2005-04,96.40,
2005-07,97.72,
2005-10,97.55,
2006-01,98.92,
2006-04,99.89,
2006-07,100.31,
2006-10,99.17,
2007-01,99.13,
2007-04,100.04,
2007-07,99.93,
2007-10,99.72,
2008-01,101.33,
2008-04,103.02,
2008-07,104.61,
2008-10,100.85,
2009-01,95.99,
2009-04,95.36,
2009-07,95.25,
2009-10,95.20,
2010-01,96.71,
2010-04,100.07,
2010-07,101.32,
2010-10,101.54,
2011-01,104.74,
2011-04,105.85,
2011-07,105.33,
2011-10,105.36,
2012-01,107.36,
2012-04,107.98,
2012-07,107.51,
2012-10,107.18,
2013-01,106.71,
2013-04,106.09,
2013-07,105.34,
2013-10,104.84,
2014-01,104.70,
2014-04,104.15,
2014-07,103.93,
2014-10,103.72,
