"",BBFN1.M.DE.N.1.A.SK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Slovak Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:31,
1995-01,0.018,
1995-02,0.019,
1995-03,0.023,
1995-04,0.022,
1995-05,0.023,
1995-06,0.026,
1995-07,0.025,
1995-08,0.027,
1995-09,0.032,
1995-10,0.037,
1995-11,0.034,
1995-12,0.022,
1996-01,0.027,
1996-02,0.021,
1996-03,0.022,
1996-04,0.023,
1996-05,0.026,
1996-06,0.031,
1996-07,0.024,
1996-08,0.027,
1996-09,0.041,
1996-10,0.039,
1996-11,0.034,
1996-12,0.043,
1997-01,0.043,
1997-02,0.040,
1997-03,0.053,
1997-04,0.046,
1997-05,0.044,
1997-06,0.055,
1997-07,0.042,
1997-08,0.047,
1997-09,0.051,
1997-10,0.056,
1997-11,0.052,
1997-12,0.052,
1998-01,0.053,
1998-02,0.060,
1998-03,0.059,
1998-04,0.069,
1998-05,0.075,
1998-06,0.119,
1998-07,0.093,
1998-08,0.129,
1998-09,0.110,
1998-10,0.113,
1998-11,0.128,
1998-12,0.141,
1999-01,0.145,
1999-02,0.155,
1999-03,0.170,
1999-04,0.175,
1999-05,0.177,
1999-06,0.181,
1999-07,0.185,
1999-08,0.183,
1999-09,0.186,
1999-10,0.203,
1999-11,0.202,
1999-12,0.205,
2000-01,0.185,
2000-02,0.194,
2000-03,0.192,
2000-04,0.198,
2000-05,0.192,
2000-06,0.185,
2000-07,0.184,
2000-08,0.187,
2000-09,0.183,
2000-10,0.173,
2000-11,0.162,
2000-12,0.169,
2001-01,0.172,
2001-02,0.175,
2001-03,0.185,
2001-04,0.195,
2001-05,0.203,
2001-06,0.206,
2001-07,0.210,
2001-08,0.207,
2001-09,0.210,
2001-10,0.216,
2001-11,0.206,
2001-12,0.225,
2002-01,0.219,
2002-02,0.209,
2002-03,0.208,
2002-04,0.200,
2002-05,0.225,
2002-06,0.239,
2002-07,0.251,
2002-08,0.201,
2002-09,0.204,
2002-10,0.202,
2002-11,0.198,
2002-12,0.251,
2003-01,0.184,
2003-02,0.210,
2003-03,0.206,
2003-04,0.212,
2003-05,0.228,
2003-06,0.228,
2003-07,0.227,
2003-08,0.221,
2003-09,0.235,
2003-10,0.261,
2003-11,0.276,
2003-12,0.274,
2004-01,0.265,
2004-02,0.262,
2004-03,0.253,
2004-04,0.302,
2004-05,0.319,
2004-06,0.315,
2004-07,0.334,
2004-08,0.328,
2004-09,0.324,
2004-10,0.346,
2004-11,0.344,
2004-12,0.355,
2005-01,0.375,
2005-02,0.373,
2005-03,0.366,
2005-04,0.379,
2005-05,0.375,
2005-06,0.403,
2005-07,0.411,
2005-08,0.416,
2005-09,0.431,
2005-10,0.419,
2005-11,0.424,
2005-12,0.435,
2006-01,0.437,
2006-02,0.439,
2006-03,0.465,
2006-04,0.457,
2006-05,0.468,
2006-06,0.454,
2006-07,0.457,
2006-08,0.442,
2006-09,0.461,
2006-10,0.501,
2006-11,0.499,
2006-12,0.516,
2007-01,0.506,
2007-02,0.524,
2007-03,0.514,
2007-04,0.551,
2007-05,0.561,
2007-06,0.592,
2007-07,0.637,
2007-08,0.657,
2007-09,0.647,
2007-10,0.641,
2007-11,0.643,
2007-12,0.641,
2008-01,0.654,
2008-02,0.671,
2008-03,0.665,
2008-04,0.651,
2008-05,0.699,
2008-06,0.744,
2008-07,0.748,
2008-08,0.744,
2008-09,0.794,
2008-10,0.773,
2008-11,0.814,
2008-12,0.752,
2009-01,0.812,
2009-02,0.870,
2009-03,0.871,
2009-04,0.863,
2009-05,0.933,
2009-06,0.991,
2009-07,1.067,
2009-08,1.159,
2009-09,1.114,
2009-10,1.113,
2009-11,1.117,
2009-12,1.132,
2010-01,1.303,
2010-02,1.313,
2010-03,1.214,
2010-04,1.252,
2010-05,1.234,
2010-06,1.226,
2010-07,1.257,
2010-08,1.427,
2010-09,1.327,
2010-10,1.338,
2010-11,1.385,
2010-12,1.534,
2011-01,1.494,
2011-02,1.616,
2011-03,1.628,
2011-04,1.749,
2011-05,1.410,
2011-06,1.117,
2011-07,1.097,
2011-08,1.705,
2011-09,1.166,
2011-10,1.068,
2011-11,1.222,
2011-12,1.209,
2012-01,1.185,
2012-02,1.218,
2012-03,1.207,
2012-04,1.214,
2012-05,1.203,
2012-06,1.180,
2012-07,1.257,
2012-08,1.171,
2012-09,1.194,
2012-10,1.243,
2012-11,1.227,
2012-12,1.194,
2013-01,1.223,
2013-02,1.444,
2013-03,1.496,
2013-04,1.459,
2013-05,1.482,
2013-06,1.547,
2013-07,1.340,
2013-08,1.259,
2013-09,1.506,
2013-10,1.500,
2013-11,1.348,
2013-12,1.371,
2014-01,1.435,
2014-02,1.935,
2014-03,1.991,
2014-04,1.963,
2014-05,1.941,
2014-06,1.955,
2014-07,1.794,
2014-08,1.821,
2014-09,1.845,
2014-10,1.823,
2014-11,1.780,
2014-12,1.575,
